,protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
2354,FERMT2,0.7851859584320282,0.9047250384024577,2.0687224735123958e-47,0.3744378250745891,0.47350124720684217,8.090773593906979e-44
1495,CRTAP,0.8148091352555416,0.9047680491551459,2.0147671738943643e-47,-0.9555694859538784,1.2877862252313056e-05,8.090773593906979e-44
6379,SMC2,0.8424064043082397,0.9032565284178187,5.062106576099489e-47,0.3248598406091425,0.4788567737755891,1.3198599212750067e-43
3326,KANK2,0.7211792712725191,0.8999447004608294,3.617530598994551e-46,0.49367457880530463,0.5160739234729478,5.659264869067075e-43
3793,MCM6,0.8241378349935521,0.9003072196620582,2.9267700342952087e-46,0.6630000069389762,0.6868349503291523,5.659264869067075e-43
4679,P4HA2,0.7642921984014263,0.8992196620583717,5.5132460010329934e-46,0.10298805280217205,0.32338378555210556,7.187435036680013e-43
6605,STAT1,0.7972452722334954,0.8969155145929338,2.0599298401409213e-45,0.8143650963015993,0.8193502271621441,2.3018244585117553e-42
3794,MCM7,0.8133452426098438,0.8957726574500767,3.9154585113532637e-45,0.6448228838127621,0.6653461088967573,3.828339559475653e-42
5036,PLOD1,0.7712816135068445,0.8946605222734254,7.263104104870577e-45,0.5818971161307855,0.6355143906567735,6.31244447869974e-42
4675,P3H1,0.7913807970843377,0.8940768049155144,1.0017623588598915e-44,0.7065441591669206,0.7184613258405527,7.835785171002071e-42
3275,ITGAL,0.7995249308268019,0.8932288786482333,1.5928210146717794e-44,0.6755087624761249,0.7065631228995446,8.989099805774715e-42
2849,HEATR1,0.7498157719693606,0.8934992319508448,1.3744739325973657e-44,0.2066717052165874,0.3632545456775894,8.989099805774715e-42
5037,PLOD2,0.7822659112827282,0.8933456221198156,1.4946467999494951e-44,0.7765812347904443,0.7929588926333282,8.989099805774715e-42
4678,P4HA1,0.7751602876324193,0.8932104454685099,1.6088902746208898e-44,0.6558152252915885,0.705847078874951,8.989099805774715e-42
6141,SERPINH1,0.7814058017690821,0.890900153609831,5.580595756369678e-44,0.7660009949952973,0.7869738300519309,2.8005200083387824e-41
3791,MCM4,0.8110952665814439,0.8908509984639017,5.728499122145299e-44,0.44158650772266117,0.5151646925442944,2.8005200083387824e-41
5151,PPFIBP1,0.7323227105386971,0.8904700460829491,7.012925121275213e-44,0.5851957557055014,0.6579618709878342,3.226770605800866e-41
4249,NASP,0.7758062833008856,0.8871397849462364,3.984662260655178e-43,0.47375759639657766,0.5745136703068935,1.7315571223802666e-40
2351,FEN1,0.7787987776385464,0.8860460829493088,6.966557682099466e-43,0.5855366202077018,0.6425380478066831,2.868021799441159e-40
5406,PTPRC,0.7944307463947443,0.8857880184331797,7.941554039706235e-43,0.5454008157160896,0.5971756457980374,3.105941784929108e-40
6381,SMC4,0.7977668169484262,0.884817204301075,1.296251994168306e-42,0.3535600758868739,0.4565411696922207,4.828230046849757e-40
3789,MCM3,0.8012010412310205,0.8829984639016897,3.207912800890891e-42,0.45890113038739055,0.5456521398230523,1.0909693012421108e-39
3792,MCM5,0.8035261947729115,0.8830046082949308,3.19818858616125e-42,0.6418374248036361,0.6566910140003283,1.0909693012421108e-39
4809,PDIA4,0.739416072207933,0.8821566820276495,4.854668257615587e-42,0.5730962458167475,0.645074920210232,1.582217296294547e-39
4735,PARVA,0.6517327245098492,0.8797788018433178,1.5385879515394373e-41,0.18442323676265004,0.2947055121717333,4.8139339827765914e-39
943,CAVIN1,0.7626485444454123,0.8788448540706605,2.4043115549519263e-41,-0.02899825487385921,0.23354040673774756,7.233278839551526e-39
3788,MCM2,0.78848994209052,0.8774316436251919,4.691617141966778e-41,0.6565918011117089,0.6793798588815084,1.3591788623875605e-38
7572,WDFY4,0.7725365388487131,0.877327188940092,4.927644645094252e-41,0.5241612780752773,0.6273579035809946,1.3765727290688302e-38
2150,ERO1A,0.7239852531657313,0.8768909370199692,6.045867918446311e-41,0.7949702517873758,0.7970173799373487,1.6307165123478292e-38
7640,XPO5,0.7648451594652028,0.8757173579109061,1.0440714382815521e-40,0.4503300866680737,0.561077191884865,2.634427996851065e-38
4464,NOP2,0.7538417807692319,0.8757542242703532,1.0263920393278617e-40,0.4935510799593793,0.5399171453912308,2.634427996851065e-38
