type,randomSeed,loss
noEdits,0,1.1291049718856812
noEdits,1,0.7634082436561584
noEdits,2,0.737005352973938
noEdits,3,0.7086742520332336
noEdits,4,0.7460905313491821
block1_removed,0,1.1302779912948608
block1_removed,1,0.7643988132476807
block1_removed,2,0.738532543182373
block1_removed,3,0.7097973227500916
block1_removed,4,0.747954785823822
block2_removed,0,1.1340333223342896
block2_removed,1,0.7667104601860046
block2_removed,2,0.7412799000740051
block2_removed,3,0.7168943285942078
block2_removed,4,0.7485169768333435
block2_res_connection_removed,0,1.128657579421997
block2_res_connection_removed,1,0.7638991475105286
block2_res_connection_removed,2,0.7377799153327942
block2_res_connection_removed,3,0.7085721492767334
block2_res_connection_removed,4,0.7462287545204163
sigmoid_activation3,0,1.1393640041351318
sigmoid_activation3,1,0.7738210558891296
sigmoid_activation3,2,0.7490516901016235
sigmoid_activation3,3,0.7203918695449829
sigmoid_activation3,4,0.7566756010055542
dropout3_matches1,0,1.2025188207626343
dropout3_matches1,1,0.8345174789428711
dropout3_matches1,2,0.8136303424835205
dropout3_matches1,3,0.785409688949585
dropout3_matches1,4,0.8156765103340149
input_res_connection_removed,0,1.4047129154205322
input_res_connection_removed,1,1.046207308769226
input_res_connection_removed,2,1.0135213136672974
input_res_connection_removed,3,0.9604450464248657
input_res_connection_removed,4,1.0539093017578125
