dataset,datasetIteration,model,orientation,trainingType,val
all,99,NAS14NN,first,allDatasets,1.2881044149398804
all,99,NAS14NN,first,justTargetDataset,1.2878763675689697
all,99,NAS14NN,second,allDatasets,0.9597156047821045
all,99,NAS14NN,second,justTargetDataset,0.9574493765830994
brca,0,NAS14NN,first,allDatasets,0.8739979863166809
brca,0,NAS14NN,first,justTargetDataset,1.2207695245742798
brca,0,NAS14NN,second,allDatasets,0.8340334892272949
brca,0,NAS14NN,second,justTargetDataset,1.2601683139801025
coad,0,NAS14NN,first,allDatasets,1.1181471347808838
coad,0,NAS14NN,first,justTargetDataset,1.4343316555023193
coad,0,NAS14NN,second,allDatasets,2.8461689949035645
coad,0,NAS14NN,second,justTargetDataset,3.0032644271850586
gbm,0,NAS14NN,first,allDatasets,0.9366156458854675
gbm,0,NAS14NN,first,justTargetDataset,1.40336012840271
gbm,0,NAS14NN,second,allDatasets,0.7377620339393616
gbm,0,NAS14NN,second,justTargetDataset,1.133719801902771
hnscc,0,NAS14NN,first,allDatasets,0.7134705781936646
hnscc,0,NAS14NN,first,justTargetDataset,1.0796630382537842
hnscc,0,NAS14NN,second,allDatasets,0.7137731909751892
hnscc,0,NAS14NN,second,justTargetDataset,1.1298973560333252
lscc,0,NAS14NN,first,allDatasets,0.5466729402542114
lscc,0,NAS14NN,first,justTargetDataset,0.9339426755905151
lscc,0,NAS14NN,second,allDatasets,0.5529409646987915
lscc,0,NAS14NN,second,justTargetDataset,0.9298020005226135
luad,0,NAS14NN,first,allDatasets,0.6726185083389282
luad,0,NAS14NN,first,justTargetDataset,1.0328538417816162
luad,0,NAS14NN,second,allDatasets,0.8487539887428284
luad,0,NAS14NN,second,justTargetDataset,1.1891542673110962
ov,0,NAS14NN,first,allDatasets,1.0638067722320557
ov,0,NAS14NN,first,justTargetDataset,1.553086280822754
ov,0,NAS14NN,second,allDatasets,1.0150375366210938
ov,0,NAS14NN,second,justTargetDataset,1.4792985916137695
pdac,0,NAS14NN,first,allDatasets,1.716554045677185
pdac,0,NAS14NN,first,justTargetDataset,1.900132656097412
pdac,0,NAS14NN,second,allDatasets,1.4467053413391113
pdac,0,NAS14NN,second,justTargetDataset,1.6740177869796753
all,0,NAS14NN,first,allDatasets,0.8853071928024292
brca,1,NAS14NN,first,allDatasets,0.8567945957183838
brca,1,NAS14NN,first,justTargetDataset,1.2280513048171997
ccrcc,1,NAS14NN,first,allDatasets,0.6238607168197632
ccrcc,1,NAS14NN,first,justTargetDataset,0.9334287047386169
ccrcc,1,NAS14NN,second,allDatasets,1.6099927425384521
ccrcc,1,NAS14NN,second,justTargetDataset,1.777044653892517
coad,1,NAS14NN,first,allDatasets,3.9747047424316406
coad,1,NAS14NN,first,justTargetDataset,4.063355922698975
coad,1,NAS14NN,second,allDatasets,1.5684393644332886
coad,1,NAS14NN,second,justTargetDataset,1.9563114643096924
hnscc,1,NAS14NN,first,allDatasets,0.7295218110084534
hnscc,1,NAS14NN,first,justTargetDataset,1.1082828044891357
hnscc,1,NAS14NN,second,allDatasets,0.7314133048057556
hnscc,1,NAS14NN,second,justTargetDataset,1.142302393913269
lscc,1,NAS14NN,first,allDatasets,0.6263853311538696
lscc,1,NAS14NN,first,justTargetDataset,1.0630264282226562
lscc,1,NAS14NN,second,allDatasets,0.5148828625679016
lscc,1,NAS14NN,second,justTargetDataset,0.8799628615379333
luad,1,NAS14NN,first,allDatasets,0.7092474699020386
luad,1,NAS14NN,first,justTargetDataset,1.0816783905029297
luad,1,NAS14NN,second,allDatasets,0.7316500544548035
luad,1,NAS14NN,second,justTargetDataset,1.1225593090057373
ov,1,NAS14NN,first,allDatasets,1.112612009048462
ov,1,NAS14NN,first,justTargetDataset,1.5944339036941528
ov,1,NAS14NN,second,allDatasets,2.834498167037964
ov,1,NAS14NN,second,justTargetDataset,3.082120656967163
pdac,1,NAS14NN,first,allDatasets,1.287879228591919
pdac,1,NAS14NN,first,justTargetDataset,1.5278302431106567
pdac,1,NAS14NN,second,allDatasets,1.4679791927337646
pdac,1,NAS14NN,second,justTargetDataset,1.8241660594940186
all,1,NAS14NN,first,allDatasets,1.0858770608901978
brca,2,NAS14NN,first,allDatasets,0.990045428276062
brca,2,NAS14NN,first,justTargetDataset,1.4056233167648315
brca,2,NAS14NN,second,allDatasets,0.7662205696105957
brca,2,NAS14NN,second,justTargetDataset,1.1664093732833862
ccrcc,2,NAS14NN,first,allDatasets,0.6208390593528748
ccrcc,2,NAS14NN,first,justTargetDataset,0.9349147081375122
ccrcc,2,NAS14NN,second,allDatasets,1.1487817764282227
ccrcc,2,NAS14NN,second,justTargetDataset,1.4707298278808594
coad,2,NAS14NN,first,allDatasets,2.857988119125366
coad,2,NAS14NN,first,justTargetDataset,3.1128036975860596
coad,2,NAS14NN,second,allDatasets,4.659066677093506
coad,2,NAS14NN,second,justTargetDataset,4.760976791381836
gbm,2,NAS14NN,first,allDatasets,0.8735575079917908
gbm,2,NAS14NN,first,justTargetDataset,1.3015661239624023
gbm,2,NAS14NN,second,allDatasets,0.7683727741241455
gbm,2,NAS14NN,second,justTargetDataset,1.1761691570281982
hnscc,2,NAS14NN,first,allDatasets,0.6513275504112244
hnscc,2,NAS14NN,first,justTargetDataset,1.0304491519927979
hnscc,2,NAS14NN,second,allDatasets,0.7608540654182434
hnscc,2,NAS14NN,second,justTargetDataset,1.151003122329712
lscc,2,NAS14NN,first,allDatasets,0.6863381266593933
luad,2,NAS14NN,first,allDatasets,0.7124502658843994
luad,2,NAS14NN,first,justTargetDataset,1.0837714672088623
luad,2,NAS14NN,second,allDatasets,0.7787887454032898
luad,2,NAS14NN,second,justTargetDataset,1.1521707773208618
ov,2,NAS14NN,first,allDatasets,1.0637775659561157
ov,2,NAS14NN,first,justTargetDataset,1.4536681175231934
ov,2,NAS14NN,second,allDatasets,0.9256551265716553
ov,2,NAS14NN,second,justTargetDataset,1.3688215017318726
pdac,2,NAS14NN,first,allDatasets,1.690282940864563
pdac,2,NAS14NN,first,justTargetDataset,2.0203442573547363
pdac,2,NAS14NN,second,allDatasets,1.9279049634933472
pdac,2,NAS14NN,second,justTargetDataset,2.091015100479126
all,2,NAS14NN,first,allDatasets,1.0406544208526611
all,2,NAS14NN,first,justTargetDataset,1.0409082174301147
all,2,NAS14NN,second,allDatasets,1.2354440689086914
all,2,NAS14NN,second,justTargetDataset,1.2354720830917358
brca,3,NAS14NN,first,allDatasets,0.9677085280418396
brca,3,NAS14NN,first,justTargetDataset,1.3584998846054077
brca,3,NAS14NN,second,allDatasets,0.7700478434562683
brca,3,NAS14NN,second,justTargetDataset,1.1932767629623413
ccrcc,3,NAS14NN,first,allDatasets,0.7162922620773315
ccrcc,3,NAS14NN,first,justTargetDataset,1.3625431060791016
coad,3,NAS14NN,first,allDatasets,5.508732795715332
coad,3,NAS14NN,first,justTargetDataset,5.461956024169922
coad,3,NAS14NN,second,allDatasets,3.3433191776275635
coad,3,NAS14NN,second,justTargetDataset,3.6437551975250244
hnscc,3,NAS14NN,first,allDatasets,0.7682855725288391
hnscc,3,NAS14NN,first,justTargetDataset,1.1887997388839722
hnscc,3,NAS14NN,second,allDatasets,0.707554042339325
hnscc,3,NAS14NN,second,justTargetDataset,1.5808112621307373
luad,3,NAS14NN,first,allDatasets,1.2281194925308228
luad,3,NAS14NN,first,justTargetDataset,1.5484323501586914
luad,3,NAS14NN,second,allDatasets,0.9170357584953308
luad,3,NAS14NN,second,justTargetDataset,1.4684914350509644
ov,3,NAS14NN,first,allDatasets,1.0234111547470093
ov,3,NAS14NN,first,justTargetDataset,1.4655660390853882
ov,3,NAS14NN,second,allDatasets,1.0011838674545288
ov,3,NAS14NN,second,justTargetDataset,1.448889136314392
all,3,NAS14NN,first,allDatasets,1.3342195749282837
all,3,NAS14NN,first,justTargetDataset,1.3329709768295288
all,3,NAS14NN,second,allDatasets,1.0174051523208618
all,3,NAS14NN,second,justTargetDataset,1.0174051523208618
brca,4,NAS14NN,first,allDatasets,0.8646153807640076
brca,4,NAS14NN,first,justTargetDataset,1.326017141342163
brca,4,NAS14NN,second,allDatasets,0.8875506520271301
brca,4,NAS14NN,second,justTargetDataset,1.2974916696548462
coad,4,NAS14NN,first,allDatasets,3.948082208633423
coad,4,NAS14NN,first,justTargetDataset,4.1312994956970215
coad,4,NAS14NN,second,allDatasets,3.4219963550567627
coad,4,NAS14NN,second,justTargetDataset,3.548144578933716
lscc,4,NAS14NN,first,allDatasets,0.5846755504608154
lscc,4,NAS14NN,first,justTargetDataset,1.0031015872955322
lscc,4,NAS14NN,second,allDatasets,0.5498006343841553
lscc,4,NAS14NN,second,justTargetDataset,0.9417919516563416
luad,4,NAS14NN,first,allDatasets,0.7383230924606323
luad,4,NAS14NN,first,justTargetDataset,1.1468867063522339
luad,4,NAS14NN,second,allDatasets,1.1620126962661743
luad,4,NAS14NN,second,justTargetDataset,1.5981823205947876
ov,4,NAS14NN,first,allDatasets,1.094150424003601
ov,4,NAS14NN,first,justTargetDataset,1.6515487432479858
pdac,4,NAS14NN,first,allDatasets,1.2986676692962646
pdac,4,NAS14NN,first,justTargetDataset,1.5454391241073608
pdac,4,NAS14NN,second,allDatasets,1.8915421962738037
pdac,4,NAS14NN,second,justTargetDataset,2.1052911281585693
all,4,NAS14NN,first,allDatasets,1.0995973348617554
all,4,NAS14NN,first,justTargetDataset,1.099321722984314
all,4,NAS14NN,second,allDatasets,1.1812211275100708
all,4,NAS14NN,second,justTargetDataset,1.1803377866744995
brca,5,NAS14NN,first,allDatasets,1.5681322813034058
brca,5,NAS14NN,first,justTargetDataset,2.136277675628662
brca,5,NAS14NN,second,allDatasets,1.0679460763931274
brca,5,NAS14NN,second,justTargetDataset,1.6331697702407837
ccrcc,5,NAS14NN,first,allDatasets,1.3694840669631958
ccrcc,5,NAS14NN,first,justTargetDataset,1.597460389137268
ccrcc,5,NAS14NN,second,allDatasets,0.6452933549880981
ccrcc,5,NAS14NN,second,justTargetDataset,0.9463984370231628
coad,5,NAS14NN,first,allDatasets,1.7758657932281494
coad,5,NAS14NN,first,justTargetDataset,2.096235513687134
coad,5,NAS14NN,second,allDatasets,7.584242820739746
coad,5,NAS14NN,second,justTargetDataset,7.336925506591797
gbm,5,NAS14NN,first,allDatasets,0.7979873418807983
gbm,5,NAS14NN,first,justTargetDataset,1.2106035947799683
gbm,5,NAS14NN,second,allDatasets,0.852130651473999
gbm,5,NAS14NN,second,justTargetDataset,1.2159714698791504
hnscc,5,NAS14NN,first,allDatasets,0.7168129086494446
hnscc,5,NAS14NN,first,justTargetDataset,1.115129828453064
hnscc,5,NAS14NN,second,allDatasets,0.7220058441162109
hnscc,5,NAS14NN,second,justTargetDataset,1.1330101490020752
lscc,5,NAS14NN,first,allDatasets,0.5753498673439026
lscc,5,NAS14NN,first,justTargetDataset,0.9902164340019226
lscc,5,NAS14NN,second,allDatasets,0.5494997501373291
lscc,5,NAS14NN,second,justTargetDataset,0.9663919806480408
luad,5,NAS14NN,first,allDatasets,0.9668294191360474
luad,5,NAS14NN,first,justTargetDataset,1.3151040077209473
luad,5,NAS14NN,second,allDatasets,0.7923057079315186
luad,5,NAS14NN,second,justTargetDataset,1.2379893064498901
ov,5,NAS14NN,first,allDatasets,1.0161926746368408
ov,5,NAS14NN,first,justTargetDataset,1.5359268188476562
ov,5,NAS14NN,second,allDatasets,0.9915940761566162
ov,5,NAS14NN,second,justTargetDataset,1.443126916885376
pdac,5,NAS14NN,first,allDatasets,1.5692260265350342
pdac,5,NAS14NN,first,justTargetDataset,1.867565393447876
pdac,5,NAS14NN,second,allDatasets,1.1035568714141846
pdac,5,NAS14NN,second,justTargetDataset,1.5662779808044434
all,5,NAS14NN,first,allDatasets,1.1331024169921875
all,5,NAS14NN,first,justTargetDataset,1.133988618850708
all,5,NAS14NN,second,allDatasets,1.354621171951294
all,5,NAS14NN,second,justTargetDataset,1.3564188480377197
brca,6,NAS14NN,first,allDatasets,0.9530785083770752
brca,6,NAS14NN,first,justTargetDataset,1.4457087516784668
brca,6,NAS14NN,second,allDatasets,2.115495204925537
brca,6,NAS14NN,second,justTargetDataset,2.899900197982788
coad,6,NAS14NN,first,allDatasets,4.966315746307373
coad,6,NAS14NN,first,justTargetDataset,5.002472877502441
coad,6,NAS14NN,second,allDatasets,0.9372127652168274
coad,6,NAS14NN,second,justTargetDataset,1.2486836910247803
gbm,6,NAS14NN,first,allDatasets,0.8050880432128906
gbm,6,NAS14NN,first,justTargetDataset,1.2047282457351685
gbm,6,NAS14NN,second,allDatasets,0.8910257816314697
gbm,6,NAS14NN,second,justTargetDataset,1.3466330766677856
hnscc,6,NAS14NN,first,allDatasets,0.6473779678344727
hnscc,6,NAS14NN,first,justTargetDataset,1.0385202169418335
hnscc,6,NAS14NN,second,allDatasets,2.0233840942382812
hnscc,6,NAS14NN,second,justTargetDataset,2.1376469135284424
lscc,6,NAS14NN,first,allDatasets,0.5964605808258057
lscc,6,NAS14NN,first,justTargetDataset,1.0122960805892944
lscc,6,NAS14NN,second,allDatasets,0.5646089911460876
lscc,6,NAS14NN,second,justTargetDataset,0.9612092971801758
luad,6,NAS14NN,first,allDatasets,0.7979438304901123
luad,6,NAS14NN,first,justTargetDataset,1.1814954280853271
luad,6,NAS14NN,second,allDatasets,0.6845361590385437
luad,6,NAS14NN,second,justTargetDataset,1.073992371559143
ov,6,NAS14NN,first,allDatasets,1.0221027135849
ov,6,NAS14NN,first,justTargetDataset,1.4803550243377686
pdac,6,NAS14NN,first,allDatasets,2.330955982208252
pdac,6,NAS14NN,first,justTargetDataset,2.3264760971069336
pdac,6,NAS14NN,second,allDatasets,1.4711532592773438
pdac,6,NAS14NN,second,justTargetDataset,1.7816200256347656
all,6,NAS14NN,first,allDatasets,1.2552365064620972
all,6,NAS14NN,first,justTargetDataset,1.2561964988708496
