trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,hidden_size1,dropout1,resNetComplexConnections2,block1_type,resNetType1,activation1,resNetType2,fc1,resNetComplexConnections1
117,117_0,COMPLETED,BoTorch,0.6982678771018982,True,True,,319.0,0.6866931863414947,1.0,0.9,True,0.00010348571254464918,128,resnet,sigmoid,fully_connect,tanh,true,508.0,0.5195300099102719,,fully_connect,,sigmoid,simple,1.0,
192,192_0,COMPLETED,BoTorch,0.6991668343544006,True,True,,361.0,0.7166729785276786,2.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,498.0,0.5725263892532744,,fully_connect,,sigmoid,simple,1.0,
189,189_0,COMPLETED,BoTorch,0.6992641687393188,True,True,,396.0,0.6781154537701268,2.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,481.0,0.5891110734684845,,fully_connect,,sigmoid,simple,1.0,
144,144_0,COMPLETED,BoTorch,0.6992894411087036,True,True,,292.0,0.7040740095428104,1.0,0.9,True,0.00013575857442556637,128,resnet,sigmoid,fully_connect,tanh,true,545.0,0.2919423153883124,,fully_connect,,sigmoid,simple,1.0,
165,165_0,COMPLETED,BoTorch,0.6993892788887024,True,True,,334.0,0.7312111622559831,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,558.0,0.49047056627157,,fully_connect,,sigmoid,simple,1.0,
151,151_0,COMPLETED,BoTorch,0.699511706829071,True,True,,313.0,0.7513925602414978,1.0,0.9,True,0.00010071778399950108,128,resnet,sigmoid,fully_connect,tanh,true,523.0,0.33346284918016295,,fully_connect,,sigmoid,simple,1.0,
143,143_0,COMPLETED,BoTorch,0.6996394395828247,True,True,,374.0,0.7686672179468845,1.0,0.9,True,0.00010295164805575709,128,resnet,sigmoid,fully_connect,tanh,true,663.0,0.502786612932129,,fully_connect,,sigmoid,simple,1.0,
86,86_0,COMPLETED,BoTorch,0.6997644305229187,True,True,,338.0,0.7239308252713456,1.0,0.9,True,0.00010092705189805746,128,resnet,sigmoid,fully_connect,tanh,true,583.0,0.44815216725225915,,fully_connect,,sigmoid,simple,1.0,
77,77_0,COMPLETED,BoTorch,0.6998415589332581,True,True,,336.0,0.7149504258758294,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,516.0,0.41295650057246946,,fully_connect,,sigmoid,simple,1.0,
191,191_0,COMPLETED,BoTorch,0.700019896030426,True,True,,370.0,0.7280087824975219,2.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,503.0,0.6004708921120219,,fully_connect,,sigmoid,simple,1.0,
194,194_0,COMPLETED,BoTorch,0.7000481486320496,True,True,,367.0,0.7131703010249315,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,498.0,0.5757125696478702,,fully_connect,,sigmoid,simple,1.0,
177,177_0,COMPLETED,BoTorch,0.7001953721046448,True,True,,323.0,0.7199881272361689,1.0,0.9,True,0.00011107037938294633,128,resnet,sigmoid,fully_connect,tanh,true,563.0,0.5450705231655153,,fully_connect,,sigmoid,simple,1.0,
122,122_0,COMPLETED,BoTorch,0.7003242373466492,True,True,,320.0,0.6660636279666018,1.0,0.8996648612201249,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,515.0,0.481492275200744,,fully_connect,,sigmoid,simple,1.0,
171,171_0,COMPLETED,BoTorch,0.7003524303436279,True,True,,334.0,0.719574141246838,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,556.0,0.49120362552502406,,fully_connect,,sigmoid,simple,1.0,
145,145_0,COMPLETED,BoTorch,0.7003999352455139,True,True,,306.0,0.7919328727219119,1.0,0.9,True,0.00012483362551306352,128,resnet,sigmoid,fully_connect,tanh,true,533.0,0.3524939431824483,,fully_connect,,sigmoid,simple,1.0,
172,172_0,COMPLETED,BoTorch,0.7009208798408508,True,True,,320.0,0.7363991148391306,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,504.0,0.4515868454879947,,fully_connect,,sigmoid,simple,1.0,
123,123_0,COMPLETED,BoTorch,0.7010268568992615,True,True,,331.0,0.7501813091578159,1.0,0.9,True,0.000118114596972292,128,resnet,sigmoid,fully_connect,tanh,true,488.0,0.5512849133515343,,fully_connect,,sigmoid,simple,1.0,
179,179_0,COMPLETED,BoTorch,0.7011520862579346,True,True,,403.0,0.7297030041703256,1.0,0.9,True,0.00010630663318486438,128,resnet,sigmoid,fully_connect,tanh,true,644.0,0.49811865519465365,,fully_connect,,sigmoid,simple,1.0,
149,149_0,COMPLETED,BoTorch,0.7016072869300842,True,True,,299.0,0.6959006609931824,1.0,0.9,True,0.00012178111041928983,128,resnet,sigmoid,fully_connect,tanh,true,506.0,0.3676667336560576,,fully_connect,,sigmoid,simple,1.0,
116,116_0,COMPLETED,BoTorch,0.7016509175300598,True,True,,358.0,0.7014476982370665,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,544.0,0.4274550121805716,,fully_connect,,sigmoid,simple,1.0,
56,56_0,COMPLETED,BoTorch,0.7016840577125549,True,True,,343.0,0.7683499515523515,1.0,0.9,True,0.00012179997360414628,128,resnet,sigmoid,fully_connect,tanh,true,604.0,0.45231547501769587,,fully_connect,,sigmoid,simple,1.0,
76,76_0,COMPLETED,BoTorch,0.7018232345581055,True,True,,320.0,0.7568896028020027,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,570.0,0.42781779594621905,,fully_connect,,sigmoid,simple,1.0,
156,156_0,COMPLETED,BoTorch,0.7018552422523499,True,True,,319.0,0.7055852999975581,1.0,0.9,True,0.00011718633730140951,128,resnet,sigmoid,fully_connect,tanh,true,650.0,0.47827220501625006,,fully_connect,,sigmoid,simple,1.0,
80,80_0,COMPLETED,BoTorch,0.7018563747406006,True,True,,339.0,0.746016888183839,1.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,572.0,0.44194250876145924,,fully_connect,,sigmoid,simple,1.0,
78,78_0,COMPLETED,BoTorch,0.7020468711853027,True,True,,322.0,0.7573356312536189,1.0,0.9,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,590.0,0.42344077871535485,,fully_connect,,sigmoid,simple,1.0,
142,142_0,COMPLETED,BoTorch,0.7027094960212708,True,True,,316.0,0.7393887692065912,1.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,471.0,0.3926172750309599,,fully_connect,,sigmoid,simple,1.0,
175,175_0,COMPLETED,BoTorch,0.7027106285095215,True,True,,300.0,0.7398230316257093,1.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,505.0,0.6188417453997116,,fully_connect,,sigmoid,simple,1.0,
104,104_0,COMPLETED,BoTorch,0.7027488350868225,True,True,,348.0,0.723887058445564,1.0,0.8840829390396665,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,549.0,0.4436966054936674,,fully_connect,,sigmoid,simple,1.0,
53,53_0,COMPLETED,BoTorch,0.7039119601249695,True,True,,330.0,0.6440430517443364,1.0,0.9,True,0.00010395527169484919,64,resnet,sigmoid,fully_connect,tanh,true,686.0,0.5002291827939298,,fully_connect,,sigmoid,simple,1.0,
73,73_0,COMPLETED,BoTorch,0.7039312124252319,True,True,,360.0,0.7647520350349827,1.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,591.0,0.5858403289870296,,fully_connect,,sigmoid,simple,1.0,
51,51_0,COMPLETED,BoTorch,0.704079270362854,True,True,,349.0,0.7766434553326594,1.0,0.9,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,713.0,0.37095159533936417,,fully_connect,,sigmoid,simple,1.0,
