protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
SMC2,0.8455591201782227,0.9033425499231948,4.805497318585304e-47,0.3248597979545593,0.4788567737755891,1.8794300012987125e-43
CRTAP,0.8126099109649658,0.9035883256528416,4.1406649758965677e-47,-0.9555693864822388,1.2877862252313056e-05,1.8794300012987125e-43
FERMT2,0.7832554578781128,0.9025192012288785,7.890793089721536e-47,0.3744378089904785,0.47350124720684217,2.0573927849267283e-43
P4HA2,0.7703554630279541,0.9017327188940091,1.262044820451886e-46,0.10298806428909302,0.32338378555210556,2.4679286463936628e-43
KANK2,0.72867751121521,0.9013456221198156,1.587913725293041e-46,0.49367451667785645,0.5160739234729478,2.484132231848433e-43
MCM6,0.8270056843757629,0.9007250384024577,2.2902774545844974e-46,0.6629999876022339,0.6868349503291523,2.9857583749599897e-43
STAT1,0.7983071804046631,0.897806451612903,1.2420154484224395e-45,0.8143650889396667,0.8193502271621441,1.3878635482229032e-42
P3H1,0.7955393195152283,0.89626420890937,2.9731134219509576e-45,0.7065441608428955,0.7184613258405527,2.9069616483125485e-42
ITGAL,0.7989506125450134,0.8946298003072197,7.387411605554662e-45,0.6755087375640869,0.7065631228995446,4.914393084952733e-42
MCM7,0.8094969987869263,0.8946728110599077,7.213958173552323e-45,0.6448228359222412,0.6653461088967573,4.914393084952733e-42
HEATR1,0.7507776021957397,0.8945929339477725,7.539339941118997e-45,0.20667177438735962,0.3632545456775894,4.914393084952733e-42
PLOD1,0.7716661095619202,0.8947403993855606,6.949435519253439e-45,0.5818970203399658,0.6355143906567735,4.914393084952733e-42
MCM4,0.8127714395523071,0.8934500768049153,1.411858670462387e-44,0.44158661365509033,0.5151646925442944,8.49504501565907e-42
SERPINH1,0.7804700136184692,0.8932288786482333,1.5928210146717794e-44,0.7660010457038879,0.7869738300519309,8.89931855483047e-42
PLOD2,0.7814741730690002,0.8928417818740397,1.9658400135634793e-44,0.7765812277793884,0.7929588926333282,1.0251200390729024e-41
PPFIBP1,0.7313462495803833,0.8923072196620582,2.625228242500573e-44,0.5851957201957703,0.6579618709878342,1.2834084570524674e-41
P4HA1,0.7732633352279663,0.8913855606758831,4.307298072673594e-44,0.6558152437210083,0.705847078874951,1.9818638543795796e-41
NASP,0.7780439257621765,0.8894623655913978,1.1932791971962106e-43,0.47375762462615967,0.5745136703068935,5.185461044704866e-41
FEN1,0.7791734933853149,0.8855545314900152,8.938342692460549e-43,0.5855365991592407,0.6425380478066831,3.679774554759285e-40
SMC4,0.8007774949073792,0.884626728110599,1.4263093956027285e-42,0.3535601496696472,0.4565411696922207,5.578296046202271e-40
PTPRC,0.7890214920043945,0.8841413210445468,1.818461061805607e-42,0.5454009175300598,0.5971756457980374,6.773334488306409e-40
PDIA4,0.742473840713501,0.8835637480798771,2.4244399221962885e-42,0.5730962753295898,0.645074920210232,8.619985941554259e-40
MCM5,0.801352322101593,0.8823963133640551,4.315953294098246e-42,0.6418374180793762,0.6566910140003283,1.4677994202798468e-39
CAVIN1,0.7660709023475647,0.8815360983102918,6.57562185747137e-42,-0.028998255729675293,0.23354040673774756,2.143104757047544e-39
MCM3,0.7988511323928833,0.8810076804915512,8.502820540615547e-42,0.45890116691589355,0.5456521398230523,2.6603624907477925e-39
MCM2,0.788186252117157,0.8786973886328724,2.5790233066789403e-41,0.6565917730331421,0.6793798588815084,7.758892424939489e-39
XPO5,0.7701311111450195,0.8783225806451611,3.081114231778732e-41,0.4503300189971924,0.561077191884865,8.607312686061871e-39
NOP2,0.7578579783439636,0.8783410138248846,3.0543194403785623e-41,0.4935511350631714,0.5399171453912308,8.607312686061871e-39
PARVA,0.6530117988586426,0.8771858678955451,5.265611836355122e-41,0.1844232678413391,0.2947055121717333,1.4202626132403366e-38
WDFY4,0.7681331634521484,0.8766451612903224,6.781866480313582e-41,0.5241613388061523,0.6273579035809946,1.7682586536337611e-38
VCL,0.6601821184158325,0.8755145929339476,1.1467829930157378e-40,-0.27445876598358154,0.14619969583116235,2.8935924423771294e-38
EIF4G1,0.7778551578521729,0.875164362519201,1.3480373540150338e-40,0.5328215956687927,0.5986657945314143,3.295108807220498e-38
LPP,0.7032372951507568,0.8744208909370199,1.8970057854292186e-40,-0.3217552900314331,0.07532635602939076,4.496478561705257e-38
GPD1L,0.7353869676589966,0.8729400921658985,3.7220815241331346e-40,0.6982895135879517,0.7278788106593366,8.562976965226288e-38
ERO1A,0.7234588861465454,0.8727864823348693,3.989704335166585e-40,0.7949702143669128,0.7970173799373487,8.91641923133515e-38
LMOD1,0.7242037057876587,0.8727127496159753,4.1247832682397895e-40,0.7597270011901855,0.7685802963000005,8.96223742338101e-38
PRELP,0.7254120707511902,0.8721351766513056,5.350124079366549e-40,0.5855069160461426,0.6185837498124119,1.1310451499677067e-37
PSME2,0.7575304508209229,0.8719262672811058,5.876079499717231e-40,0.3184504508972168,0.4390280389140071,1.1981743171552076e-37
LMNB2,0.7452272176742554,0.8718894009216588,5.974021780753399e-40,-1.611387014389038,0.1652835079192082,1.1981743171552076e-37
ADD1,0.7384410500526428,0.8717419354838709,6.382063999373432e-40,-0.3979696035385132,0.11751183335684248,1.2480126150774745e-37
DDX27,0.7457083463668823,0.8709861751152073,8.942622000680603e-40,0.24137723445892334,0.441601701179156,1.7060777875444798e-37
SEC24A,0.7365646362304688,0.870537634408602,1.0913856052722394e-39,0.3892744779586792,0.5250614287857116,1.940185955554422e-37
PDLIM7,0.6977493762969971,0.8705622119815666,1.0795583571484741e-39,-0.261285662651062,0.10821385223600183,1.940185955554422e-37
IL16,0.8087674379348755,0.8706236559139784,1.0505377115218246e-39,0.5202814936637878,0.5635960302656435,1.940185955554422e-37
AHNAK,0.6967894434928894,0.87031643625192,1.2037148926556986e-39,0.5682229399681091,0.5786097516270735,2.0923239756339725e-37
DDX18,0.6953307390213013,0.8697081413210443,1.574424543600844e-39,0.15729397535324097,0.32315305913113845,2.677206256531696e-37
ADD3,0.7392895221710205,0.8688294930875574,2.3147840090520726e-39,-0.2758309841156006,0.16494530076103384,3.852391599745811e-37
RSU1,0.6801431775093079,0.8675453149001534,4.04570392280915e-39,-0.38315296173095703,0.07408594174306489,6.5928116842110784e-37
DTX3L,0.7471365928649902,0.8674285714285713,4.2551243061029406e-39,0.6741483211517334,0.6804756059596163,6.792567820885143e-37
ANKRD44,0.7418937683105469,0.8672626728110598,4.5711273037545857e-39,0.6354475021362305,0.6491180053587718,7.151071553993674e-37
IFIT3,0.7585957050323486,0.8670046082949308,5.108989696941154e-39,0.647925853729248,0.686420175435585,7.835787727347784e-37
FKBP10,0.7375156879425049,0.8665929339477724,6.098102460192488e-39,0.6743077635765076,0.7050697013755837,9.172953354543392e-37
DDAH2,0.7240101099014282,0.8657450076804913,8.763936897353539e-39,0.17807859182357788,0.2802349315885291,1.2794854953504421e-36
SYNPO2,0.7213755249977112,0.8657265745007678,8.833062739570938e-39,0.8155326843261719,0.8180243271265513,1.2794854953504421e-36
EHD2,0.7191907167434692,0.8652964669738863,1.0606767851609921e-38,-0.2316652536392212,0.15298851805449054,1.5084752388235056e-36
HDLBP,0.7536829113960266,0.8650138248847925,1.1957992070067333e-38,0.18416327238082886,0.45006194217185846,1.670275249501191e-36
ILK,0.709378719329834,0.8647926267281105,1.3131993503008e-38,-0.31578660011291504,0.12410027796071217,1.8020781259741854e-36
STRBP,0.7090721726417542,0.863637480798771,2.1358422367549815e-38,0.6082887053489685,0.6592863414605075,2.8804410303271493e-36
VIM,0.6609349846839905,0.8628878648233486,2.9215737896056286e-38,0.4634161591529846,0.5200798083270881,3.8733135902195305e-36
FLNA,0.68107008934021,0.8627526881720428,3.090753757807156e-38,0.047266483306884766,0.2031684876289531,4.029312648927929e-36
