,absMeanSHAP,spearman,meanSHAP
IRS1,0.0006177058899579852,0.08447015815573998,0.0006090207242237586
PCNA,0.029920952497105777,-0.3404273348810731,0.02990956998669512
AC005703.7,4.7631203719760425e-07,0.24829591825059893,3.701189960733229e-07
AC008957.3,9.978714326590504e-07,-0.04473293787924091,-4.5972032059564536e-07
AL158198.2,9.344783307499395e-07,0.20644255413896223,-9.344783307499395e-07
CXorf51B,2.2974681281997038e-08,-0.014565320262299862,1.678150120644865e-08
PTTG4P,2.3927261865520917e-06,0.12899147744167064,2.3927261865520917e-06
RPSAP44,1.369072468830695e-07,-0.20423015540274642,1.2486585410474545e-07
ZG16,1.4456042725049543e-06,0.03749369049673296,9.349749291281014e-08
MUC20,2.4686624115942384e-06,-0.004103350269314965,-2.4554177169336977e-06
KCNMB1,3.4501114408410108e-06,0.1054018933034492,2.4446814979616104e-06
RANBP20P,2.1444750080125542e-06,0.29178739507166107,8.41750336411857e-07
AL109921.1,2.0414906959567917e-07,-0.10706847672973188,-4.293366951160541e-08
AC078880.2,9.471887046607201e-08,-0.08520945366227428,5.708840896030781e-08
AL391097.3,1.8492220414931945e-06,0.010606446767418783,-6.670195494117771e-07
H2AC5P,1.982730960340155e-06,-0.1644722145606759,-1.2363748026753017e-07
RPS3AP3,5.844949741302611e-07,-0.07976545309193493,-5.843266097155979e-07
ITGAM,0.015023134461978763,0.35863130569257806,-0.015017808329469782
DNAH1,4.467629694394141e-06,0.1644320591102187,2.0779609320213634e-06
SRSF8,0.0302496715700643,0.01723156503470126,0.030246315062077544
ZSWIM8-AS1,6.401479069457106e-06,0.04825938596138684,-4.434952599615704e-06
AC093827.3,3.7132350267387094e-06,0.10305619939038672,-5.419580094768764e-07
RECK,0.04349923460870472,0.4780442296349314,0.04349923460870472
EFCAB9,2.9222803603888896e-07,-0.04911567927952945,4.218913050909393e-08
RNA5SP101,1.1888909358486878e-08,-0.0041521873283600465,1.0685394818069879e-08
AL353588.1,1.5276012197778063e-06,-0.011817429512664648,6.924459177141665e-07
HSFY1P1,2.832812311178902e-07,0.008758789314060001,1.8979002617247697e-07
NTAN1,0.0016900062070327835,0.23726352291901082,0.0016900062070327835
SERPINA4,0.008755977482224777,-0.23851038296038668,-0.008755977482224777
HNRNPKP2,1.3411870526339728e-06,-0.08556316604381244,-1.230219709004515e-06
AC011411.1,6.6263703916707184e-06,0.07332929399324839,4.9641078791287515e-06
AC010168.2,5.4486881015181105e-06,-0.10735141157001944,-1.5372394147253422e-06
PRSS2,5.340436352127661e-06,0.1611251768058374,-5.20759855258253e-06
AC026356.2,2.6394497123614366e-06,-0.2320073566171423,2.6392691528564174e-06
UBD,6.9084326630403935e-06,-0.0846356253384131,-6.482906451396102e-06
RPGR,5.5684269387525515e-06,0.29609751678765694,5.5684269387525515e-06
GTF2F2P1,3.408691780989091e-06,0.22639828260407377,3.407385876318103e-06
RPS15AP27,1.0874323845213842e-07,-0.035762402353503614,-1.0874323845213842e-07
TRBV11-1,3.3741120351381053e-07,0.1350928860388301,-3.194392989886371e-07
AC103808.3,7.523812091743148e-07,-0.13631064276832122,-7.523812091743148e-07
AC005070.1,3.084429502190791e-06,0.035727279020635994,-3.084429502190791e-06
CDY2A,3.715936206678335e-07,0.05094446428915974,-3.278388017344999e-07
RN7SL460P,4.369063034981921e-07,-0.030703109791516144,2.3234974135332955e-07
DEFB109F,2.017371696470111e-06,-0.09780138604708986,1.9823329740241e-06
RN7SKP96,8.313272147253935e-07,-0.12001050989536104,-8.06794424850917e-07
RNU6-851P,1.0174298205917044e-07,-0.04017429392503908,-5.044837991248192e-08
AP003327.2,1.991116689461671e-06,0.09034901566144467,-1.8169158302073238e-06
AC009135.1,5.60003843939512e-07,-0.15942672869978133,5.558673822694649e-07
MAP7D1,0.01127376239737528,0.1331721592386057,0.01127376239737528
C3orf14,5.845025865152198e-06,-0.10535613895189747,2.867644410349489e-06
AC005821.2,5.659698370093993e-07,0.28107166395783606,-1.2869898330247172e-08
LINC01351,7.137950368980344e-07,-0.282593967066503,7.136269843880124e-07
LINC00957,4.722727555464414e-06,0.04330347711152692,4.486639441513148e-06
RNU4-64P,9.928148591760537e-09,0.04146641528605118,3.3785780819387665e-09
RNU6-533P,0.0,,0.0
AL020998.1,1.7500683807198644e-07,0.06205295011329775,1.3913327298562724e-07
RNA5SP386,2.3014015079092952e-07,-0.05874973929529684,2.3014015079092952e-07
RNU6-118P,4.179065622922672e-08,-0.0046763933392825465,4.179065622922672e-08
