,absMeanSHAP,spearman,meanSHAP
HOXA4,5.202755474589903e-06,0.28071203169494774,4.965477962306886e-06
WDR86-AS1,2.2120671670658805e-06,0.4458259559498509,2.211493491126724e-06
AC093838.1,8.446047172601072e-07,-0.22382408273180313,-8.303415201146147e-07
CDA,0.002993126671187961,-0.05439764421300132,0.002993126671187961
OR8H2,1.7544145115411866e-07,-0.031873760842387404,-1.4185701260035545e-07
SASS6,1.2583705284375396e-05,-0.4221426446563798,6.342535610575464e-08
TPO,3.480651996098225e-06,-0.09601090311726711,-2.47878861785466e-06
CA8,0.00810384661430234,0.2180363907787377,0.008103413146837433
RN7SL403P,6.507959643051922e-07,0.11582189179697004,-6.40586936100708e-07
AL096701.4,4.48023567891219e-06,-0.014147781916857774,-1.218344360006387e-07
YY1P1,2.0749930442083195e-06,0.4625671085511707,-4.153420807679849e-08
ZNF347,8.488784438864001e-06,0.49249516218695505,5.11596991216456e-06
AL118556.1,2.354267920090392e-08,0.0017009922388378745,1.7718883928047745e-09
AL445524.2,7.776872938138198e-06,-0.39214955350276065,2.979033901697083e-06
TMEM126B,0.010468819675191563,0.06943392617505494,0.010468819675191563
PFKFB3,0.05222928873727101,0.3794408736742696,0.05222928873727101
RBBP6,0.016247492854435143,0.021925604135379795,-0.016247492854435143
AC004125.1,0.0,,0.0
SIL1,0.02283975199102401,0.16386584550423025,-0.02283975199102401
RN7SKP6,4.045531715732862e-08,0.0029714073953721184,-3.8562485381857835e-08
PPIAL4H,9.74150871447488e-07,0.2644461248375118,-9.486954838333276e-07
LINC02798,2.000049550172256e-06,0.21567482549322348,1.3251891597707246e-06
AC069113.3,1.2940232484238387e-07,0.09219910501995883,1.2940232484238387e-07
IGBP1P3,2.7209726114013244e-08,0.07889216598489676,-1.0615405922475587e-08
AC122694.1,1.8979256583012436e-06,0.18734514411406378,1.8979256583012436e-06
AL138885.1,4.566390637452558e-08,-0.13667021661544965,-1.8120606551944526e-08
PIK3IP1-AS1,3.886708256855993e-06,0.1597951142842543,3.3502602632896483e-06
AP001324.1,2.413621861585372e-06,-0.27871405389611215,-2.413621861585372e-06
AC103810.7,2.064337133131444e-07,-0.026829199766590407,1.2026687214669275e-07
TRBV7-5,4.64021895450413e-07,0.18971931870221434,-4.64021895450413e-07
UBL7,0.01543757599524303,-0.19060323860670975,-0.01543757599524303
LRRTM4,2.4629525277963548e-06,0.5663324540608452,3.145608700218365e-07
AC080162.1,1.4240794980119368e-06,0.38290941733927214,-1.379722833708427e-06
CPXM2,7.401536492886142e-06,0.15653063267253625,6.907363771807779e-06
AC020703.1,1.324825624957394e-06,0.1881596191374475,1.1660518652793368e-06
ASH1L,2.789790576997552e-06,0.20492299939395406,-2.6856455118432228e-06
GCA,0.006492174167809328,0.4613205009538148,-0.006477100137561748
AL691403.2,1.422767630486075e-06,0.11098427540521161,-2.3044158836696771e-07
AC091212.1,5.2953345892322646e-08,-0.012234846103334075,3.1705937445180204e-08
PVR,0.019112996872193488,0.38506107203800183,-0.019107931107885542
