,absMeanSHAP,spearman,meanSHAP
PRPF38AP2,6.576648514659695e-07,0.2419457073733891,4.0300280253040096e-07
SFPQP1,7.38722093825543e-08,-0.10608912900823506,-5.821432612523195e-09
AL391827.1,2.787396660082492e-08,0.025502578401218487,-2.056050663305062e-08
LINC01241,4.3778840021736615e-07,0.049942416719165744,4.3778840021736615e-07
VCAN-AS1,5.683887301480987e-07,0.1795267888699477,5.36745676759601e-07
CH25H,5.2863273400712035e-06,0.3867773560945741,7.146672187479911e-07
AC073648.1,9.790205225273477e-08,0.021359563790194044,-1.427340729513942e-08
AC022395.1,1.8740967378820712e-06,-0.010369673171203818,1.3952089823960508e-06
CIP2A,0.006275736159492843,-0.2731143373818832,-0.006275736159492843
LINC02510,9.57888405761719e-08,-0.01328750797723719,4.486374739509547e-08
AC109587.1,1.8576360618976773e-06,0.2629960773353672,1.7840275763266812e-06
TNNT1,5.496570738698807e-07,0.0626378549305687,2.3054970883980335e-07
DPH3P1,7.633199648321366e-07,-0.01866903843914315,6.611907921280314e-07
TUBAP,6.970435071743252e-08,-0.012970230948173829,-6.970435071743252e-08
TMEM184A,2.0383715632207267e-06,-0.19476254505489127,-1.9377622717765136e-06
NDUFC2,0.01251659422829479,-0.26268587240669755,0.01251659422829479
AL122018.3,5.70198550794423e-08,-0.0221707916796165,-4.936073015907492e-08
DNAJC19P9,8.97777436463515e-07,-0.00379679370797996,-6.489950246440371e-07
UGT2B27P,7.463045170799753e-07,-0.3925146195900968,-7.463045170799753e-07
AC009949.1,3.735103426282983e-07,0.04233188742403047,3.205241581494554e-07
LINC01614,2.554035197105999e-06,0.3491273274027521,-1.2161511379771148e-06
MIR555,8.884295526224624e-08,-0.07667841904226298,5.651309347074792e-08
SEPTIN7,0.01296970214550026,0.18287708944690992,0.01296970214550026
DYNLT1,0.0008947407341175837,-0.16407448072480052,-0.0008916986492588126
AL035417.1,6.430783553349858e-09,0.004123796992745225,-5.017452638189247e-09
LINC00342,4.293544109811957e-06,0.1559733705938797,-4.293544109811957e-06
RNA5SP482,0.0,,0.0
AC138932.2,5.132390904374818e-08,-0.01908031464986661,-5.132390904374818e-08
AL110118.1,1.553222921392809e-07,0.051837300937587164,-1.42910072716665e-07
AC096638.1,1.1370693336133227e-07,-0.03347809341698209,-6.944037852635907e-08
AC233290.2,8.076806116526629e-08,0.024843195768124438,-8.076806116526629e-08
AC005020.2,4.872725685528326e-07,-0.07635113818914856,1.4437792333678934e-07
MTCO1P18,1.974715208391166e-08,-0.027154367593190617,-9.857442665448577e-09
LINC00649,4.576200412206657e-06,-0.21038843331496945,-3.9947924484486776e-06
AQP4-AS1,5.240916171989877e-06,-0.10263422799704476,5.223943142527933e-06
RNA5SP38,6.832523565641482e-08,-0.017428380337296746,6.832523565641482e-08
EREG,3.2296685105450607e-06,0.2833323545463233,-1.9986420267525155e-06
CST1,3.026219392638678e-06,0.19912043706374097,-3.0230904130226774e-06
AC005005.1,2.0981977504144954e-07,-0.042177659590542274,1.333939647010486e-07
SETD2,0.009081289536445778,0.06503591775417167,-0.009073169522109834
DCBLD2,0.03169105962457769,0.2649442520063824,-0.03169105962457769
LINC00615,1.1980150429801742e-06,-0.08779388957769374,-1.1980150429801742e-06
AL162386.1,3.0185145375602406e-08,0.050161892063351546,2.1550430813814563e-09
AC006557.3,2.486645240351272e-07,0.05563133776977684,2.486645240351272e-07
PBX3,5.0732038800335184e-06,0.44270242001172566,-1.175505272782522e-06
SNORD15A,1.8288092718145573e-06,-0.11685893788944292,-1.6774528770150675e-06
AC005034.6,1.1446222258592366e-06,-0.19694642702897688,-7.098187713033864e-07
RN7SKP142,2.8259538787309966e-08,-0.1141216044745738,-2.8259538787309966e-08
AL049697.1,3.1015790407726807e-06,0.12452660429302333,-2.355206457130172e-06
LINC01405,7.363103692818596e-07,-0.23187264982556802,-7.330770829442991e-07
AC073539.3,1.0644550264334655e-08,0.006033661765389235,-1.0644550264334655e-08
AC022616.7,2.8837592039022735e-09,-0.02285006100828052,-2.4151255803230002e-09
AC082650.1,4.8432338917286424e-08,-0.14793456638320718,-1.751185902323119e-08
HNRNPL,0.008593002351490636,-0.18190314978381886,0.00857560322248925
AC125603.4,8.588458420031029e-07,-0.18723945273999162,-4.6444275186032286e-07
LINC01589,2.2799846661312374e-06,0.28790904883030627,2.2799846661312374e-06
MIR145,1.1295468354546303e-08,0.04164780225228043,1.1295468354546303e-08
SNORA17A,9.280813099210318e-08,-0.0007523201720505257,9.280813099210318e-08
OXSR1,0.01134304737554398,-0.13524566103321242,-0.011338724242476884
AL607035.1,1.64733453508768e-07,-0.14971012526950433,-1.355382579559422e-08
AC005905.1,4.269157973770933e-09,0.019424498199543408,3.498731375644385e-09
AC016683.1,1.3734812055417938e-06,0.026670227277382164,1.3663282652855751e-06
PALLD,0.07426293282732511,0.3943727181367088,0.07426293282732511
LINC02787,2.254692511242359e-08,-0.03310807636555436,2.254692511242359e-08
AC124014.1,8.76319155800756e-08,0.06222079018631544,-4.95930605345199e-08
SLC25A34,4.680250898531248e-06,-0.22488889832870848,9.85073052736684e-08
CCNA2,0.005426021359779217,-0.17077441122261397,0.005415161460289215
PFN1P8,1.5507912892844977e-06,0.040528764028333164,-1.536155598011685e-06
AC104667.2,2.236415758574771e-06,0.09591780060707743,1.5556017062919026e-06
KCTD10,0.034882718403601,0.22340070504136728,0.034882718403601
AL357752.1,1.3423419923723518e-07,-0.11905217540061463,-4.012298637317736e-08
AP002498.1,1.7843129480046985e-06,0.15620144428454494,1.7477399521058244e-06
AC027796.3,1.4591240311682294e-06,-0.2624202367713287,1.2893198578179452e-06
AC007382.1,0.0,,0.0
POLD4,6.507145293421574e-06,-0.02224127647367542,-6.507145293421574e-06
AC021820.1,3.3693040587282514e-08,0.017183771080841865,2.5098399480772568e-08
FZD6,0.02028377538971761,-0.006853144289873925,-0.02028377538971761
TTLL8,2.1839564605007318e-07,0.03646714307849183,-2.1839564605007318e-07
AC009955.4,1.867257943744558e-06,-0.1281359889374887,-1.7295866863582637e-06
MOK,1.824847229294333e-06,-0.10182708103098112,1.6202127421215526e-06
AC005674.2,2.338869269610606e-06,0.07620133667765044,2.1113328299058102e-06
IGHV4-28,0.012568955302349265,0.1955426348035207,-0.012568955302349265
KLK5,3.40092340324967e-06,-0.06652059786887071,3.99992706832333e-07
AL121768.1,2.0307243960843593e-06,-0.03989867617082493,1.331467323787915e-06
AC026474.1,1.7566992368814642e-06,0.016630720492892645,-1.705874827856575e-06
GLRA4,1.387595022089252e-07,-0.0800077007126041,-1.0702516911080666e-07
AC015908.7,2.0834551021040209e-07,-0.0800041994855511,-1.0301556784484859e-08
PARP2,0.017895770356551474,-0.22666064477555084,-0.017895770356551474
AC005703.6,6.21290809901763e-06,0.31241865409689124,6.198269366427995e-06
AC022858.1,8.219240424500766e-07,-0.1459209569293926,5.240511149279288e-07
ADAM32,2.333258952230524e-06,0.11277861959167924,1.2291625945303785e-07
AC008662.1,1.199921536644671e-07,-0.038375584037704025,-6.130407218321864e-08
LINC01870,9.601790600121079e-08,-0.11492984207639473,6.831709420140244e-08
KARS1P1,1.5095616701428142e-06,-0.24901267642904765,1.5074536211720167e-06
RN7SKP13,4.192381393648653e-08,0.060301709985555854,-1.3675423034270583e-08
IL1RL2,6.417148414854008e-06,-0.423561320027931,-6.417148414854008e-06
LRRC2-AS1,1.9549619923844952e-07,-0.14894114223435034,-1.6920521081661833e-07
AL132656.4,2.0972271079222175e-06,0.0454250787617756,-1.927500126141758e-06
F8A1,6.670438596685638e-06,-0.12085906026605614,-6.670438596685638e-06
HEXA-AS1,3.174173559330043e-06,-0.11799786992442586,-1.5399265751601623e-06
RN7SL663P,4.7248870213692787e-07,-0.06886012879032494,-2.5561709526898924e-07
AC006116.5,8.069036374390266e-08,-0.036299105040437964,-4.5758338172622145e-08
CHST7,6.25810317497611e-07,0.04557147326908228,4.256715504326618e-07
PPIAP8,6.099908550068736e-07,-0.01039719390936446,-5.974722037785252e-07
CD55,0.06498836837068893,0.6352860912170452,0.06498836837068893
AC098588.2,4.590271393279969e-06,-0.09719507137130483,3.3882197996525897e-08
AC011487.1,2.6087055744848232e-06,0.19694864558832592,1.5262921054920948e-06
ZNF98,1.0595650351482544e-06,-0.04948851609013936,9.224727044753899e-07
AL356057.1,1.8831635048924358e-06,0.05516651781638395,-1.8623685576771655e-06
AC011933.2,2.350840713073532e-06,0.12514974179168067,2.323545856413762e-06
PEG13,2.184908812367161e-06,-0.11137007477743001,2.171754813679353e-06
PLXNB1,0.02238503111248893,-0.06450749498365571,0.02238503111248893
PPP1R26P2,1.5110360087823556e-08,-0.006072794616625249,5.999564139515539e-09
AC007448.5,4.585704339276609e-06,-0.017070104655257965,9.726826349644179e-07
ST8SIA4,3.3826669085691935e-06,0.17853800384387344,3.364692096931665e-06
GOPC,0.01986532160298953,-0.038841752527310515,-0.01986532160298953
AC087045.3,2.8622948808202144e-06,-0.08901992554089118,-2.7938315157366467e-06
EAF1-AS1,2.706223574963054e-07,-0.005800565422935804,5.9326188876945165e-09
SLX1B,3.839156703507445e-06,-0.1276650411877806,-3.839156703507445e-06
GJB2,2.1251151048679025e-06,-0.268742533909823,1.3610519444055407e-06
ASB16,4.199230951748111e-06,-0.21718176201277586,2.3818756183991654e-06
STK36,9.004565387670166e-06,-0.1455993449541947,1.6478248142681778e-07
PAQR7,2.3370447689285866e-06,-0.353281833527983,5.115867562152843e-07
AC000120.3,3.038684973464756e-06,-0.07545381298155282,-3.038684973464756e-06
CAPZA1P1,5.914532595294407e-08,0.0046116625119580435,3.7488890494956745e-08
AC002545.1,4.5810761071780675e-08,-0.003930260832705854,-4.5810761071780675e-08
AC011287.1,2.5259672812718864e-06,-0.1148494098376805,-2.4907308362334374e-06
DUSP15,1.3281422095375698e-06,-0.15749166761343314,-1.2753942494688678e-06
HYAL4,1.977264286803545e-06,-0.13340829836343215,-1.96786590683213e-07
KDELR1,6.849286630755199e-06,-0.07512410272887782,-6.848477207533524e-06
GATA6-AS1,1.5812290234614196e-06,0.5828216771874248,1.5685908092348796e-06
CAMSAP2,0.02779980585956756,0.007371999733433605,-0.027797727758506363
AP003168.1,2.0527999764857375e-07,0.1406835733348113,-1.1991736558391344e-07
AC005294.1,1.1541239642736637e-07,-0.08909943675128468,-8.429232600839357e-08
ZNF85,8.24831637790478e-06,-0.07438807804190017,-8.24831637790478e-06
CCR7,4.63870456320723e-06,0.24232496463302472,-4.63870456320723e-06
LINC01422,5.069306085805972e-06,-0.08084934296412555,-5.052943881580192e-06
RAB20,0.012246426486964864,0.30857896663640666,-0.012246426486964864
AC018647.2,6.465392726727382e-06,-0.22117765610993884,1.8714347653799703e-06
VAMP9P,1.6851945910861035e-07,0.07372966513838862,-1.5664116095830608e-07
AC018710.1,4.0121563825672606e-08,0.024105033750237738,2.071160837452822e-08
EEF1A1P34,5.470385983764764e-07,-0.07668179791666668,-4.805226330667068e-07
NOP2,0.013570948116540624,-0.17274591243587278,0.013555426243321544
LINC02554,2.9794533882484907e-07,-0.10910311176713408,1.826667459105949e-07
AC013565.2,5.3893518648260756e-08,-0.05596743958220938,-5.3893518648260756e-08
AC022080.2,1.6746036139864428e-06,-0.2004622801658683,-1.5839622536630264e-06
AC112191.1,1.0938234191635305e-06,0.19004092618291865,1.0680038499850744e-09
AL079342.2,1.1512002142595462e-07,-0.023516661895713213,-4.24209284935307e-08
AC016240.1,6.903255896980044e-07,0.025370901434387267,-2.941012276699715e-07
FOS,1.0244665392305059e-05,0.20464006227972315,1.0244665392305059e-05
MAGEC3,5.444698402399208e-07,0.019522617289904683,5.444698402399208e-07
AC073071.1,1.8386232790044595e-07,-0.08834241074782194,1.6422688896473953e-07
PSAT1,0.023061553178405143,-0.4051334716228025,-0.023061553178405143
AL356753.1,1.2855400800547439e-06,0.1139516790781545,-1.1906948715188964e-06
AC015720.3,1.1317904508846373e-07,0.051859842323394675,6.442054751164024e-08
FBF1,2.508806900487124e-06,-0.05276103151593796,4.7571313072624275e-07
AC020978.4,1.3905325307162808e-06,0.05149182014768592,-6.703074418287235e-07
STN1,1.1060225156360344e-05,0.0942122807545331,6.027754958570281e-07
AL592429.1,3.3064872989956172e-06,0.09964096469985163,-1.7884923709961247e-06
AC099563.2,3.6425996518662586e-07,-0.027771742020457204,-3.6425996518662586e-07
PIGCP2,1.2732168895998327e-07,-0.04837442011723024,5.882769535518265e-08
AP005899.1,2.2913181862843156e-06,-0.07168997089498151,2.272235830932322e-06
AC002064.4,3.914760110073052e-07,-0.059783098358403446,-1.739356154536797e-07
EHD2,0.011785775656344328,0.2186038628406826,0.011785775656344328
EZHIP,1.0226499664796334e-06,-0.03799271573147206,-1.0226499664796334e-06
AL499604.1,2.7692859566152576e-07,-0.034343719396242554,-1.049344088657501e-07
BTBD10P2,1.9575439797957357e-06,-0.024267703452352483,1.9575439797957357e-06
CDSN,7.923194403896274e-06,0.033059986619709214,5.556948329926074e-06
P2RX6,1.9758175668790434e-06,0.04933779826805652,1.9014214242685e-06
RPS3AP38,3.407714292917133e-06,-0.0625238121908912,1.0607647752193818e-06
