,absMeanSHAP,spearman,meanSHAP
SEM1,4.422424940475976e-06,-0.19843548266365593,-4.422424940475976e-06
AC007601.2,1.6753026093473935e-07,0.11066641955979774,-4.0550451940635624e-08
AC015819.2,2.338450966559494e-07,0.2706449030396503,-1.9081532189782314e-07
AC126323.3,3.792857134695916e-08,0.17231213870884124,-2.568792389814723e-08
RPL34P6,3.205718383350852e-07,0.28656447234974375,-2.969853897533214e-07
AL392003.1,2.005826093463366e-08,-0.01930054129377734,1.6952024364791418e-08
AC026316.3,1.267903597943098e-06,0.1734121280784579,1.2227322798099342e-06
CARM1,0.01306628161096862,-0.12572628962914487,-0.01306628161096862
HIP1R,0.022727011797958687,-0.009338973590512315,0.02272699392395318
AC008397.2,1.8877417080448898e-06,0.3489517951455812,-1.701222498028978e-06
AL591222.3,8.373130408131602e-08,0.27800110329892663,-7.186186747880656e-08
AC093827.1,3.6641469374256534e-07,0.1807381126105376,-7.217046744926256e-08
IGHV3-47,2.459313711246253e-08,0.09999029173863452,1.2505821211927781e-08
RNU2-5P,2.900996400013419e-07,0.33739966443426744,-2.4852168019398924e-07
AL137803.1,1.82613386803555e-07,0.05040529349617338,-1.793392964209468e-07
AL590226.2,5.726973618381854e-07,0.2377078498755707,-5.622199014812324e-07
AL645927.1,8.838732495935919e-09,0.05840498099087283,-8.297980588363678e-09
KIAA0040,1.5735125875340817e-06,0.3339708566120033,-1.509753134623438e-06
ALG9,1.7328512472309772e-06,0.1501432203523387,1.72592664809943e-06
AC009248.2,7.932492374934099e-07,0.1828024571596038,-7.834645600985742e-07
ESRRA,0.004892033778034835,-0.26857319841668453,0.004891748596702219
AL138880.2,7.459874612335023e-08,0.08625618835823015,4.74224143998822e-08
BOLA3P4,2.0073128195270072e-07,0.12542333582631982,-1.975447746326302e-07
AP000769.1,1.661971970932371e-06,0.2616415587700911,-1.604641271624141e-06
STK11,0.0008634066618795275,0.09503851852243739,0.0008634066618795275
TEX9,1.915969018249228e-06,0.10103032931454521,-1.5809720654402782e-06
AC026765.2,3.230487904797666e-08,0.04927031725027799,-8.253999300128046e-09
AC099552.2,1.3323024527825776e-07,0.1741551808488125,1.2954718742062495e-07
AC078880.1,9.000384907378259e-08,0.02959731666417315,-8.674282117100171e-08
AC084809.1,4.510944058753438e-07,0.1827247941747545,3.67329605134885e-07
AL365259.1,5.123300581134324e-07,0.04537667893001428,-3.963177077558824e-07
LINC01913,5.72825619806044e-07,0.5744856076688852,-5.724373669424532e-07
POLR3B,3.374830714030931e-06,0.09791925786052116,3.273821217876267e-06
AC064847.1,5.547669847570895e-07,0.34799030098085554,-5.471504148774661e-07
RASD2,1.5779933276356557e-06,0.09196288535818781,-1.5779933276356557e-06
TPRA1,3.2774899368625966e-06,0.3291434496460282,2.2660916242846025e-06
CDY18P,3.3991815033617992e-09,-0.030381326066033505,2.044855700047965e-09
RNU6-1331P,1.6522204376005054e-09,0.02875559413144348,1.5400165280460487e-09
RWDD4,0.02775701670620236,-0.24507961448596988,-0.027756952799841864
AC069271.1,1.5034309725905925e-07,0.07254539004947184,3.46558968677791e-08
CCDC37-DT,6.667492090161932e-08,0.08467324333356838,5.9602095305592005e-08
RNU6-853P,3.145897048944084e-08,0.016908266284615434,3.145897048944084e-08
MICE,7.079838539391008e-07,0.3663533493405206,-6.929851689605436e-07
AC091893.2,7.007402866857845e-07,0.16889507108529003,-6.568122611871145e-07
RNA5SP64,9.875663633476463e-12,0.02082586480311768,-9.875663633476463e-12
AP000550.3,2.2344881603923944e-07,0.259376995331958,2.0591661609999937e-07
THYN1,0.0017679357484862146,0.04200160146047691,0.0017679357484862146
