,absMeanSHAP,spearman,meanSHAP
AL670379.4,2.590689157489565e-09,-0.03226045906730489,2.590689157489565e-09
AC073135.1,2.0236880504100964e-08,0.024583527324268134,2.0193379617100394e-08
KRTAP10-7,9.211274248709073e-08,0.2308771802653152,-8.624289030893303e-08
GPR143P,2.7746185836634733e-08,-0.031472071912296305,1.9996596147700474e-08
RPAIN,0.0190503287085274,-0.07449857808405647,0.019049579893128412
PLEKHH2,3.64458311861942e-06,0.27845781107680284,3.6437858440819285e-06
AC138409.1,9.294407544768957e-06,0.24570285017153787,-9.294407544768957e-06
AC005064.2,5.152821412540985e-09,0.00883639497253778,-5.152821412540985e-09
PRSS53,1.8220837009764465e-06,0.13805656354728885,-1.491595939796526e-06
RNU1-136P,1.2189043752975776e-07,0.032788683232651,-9.998323255395886e-08
AC073575.3,2.1478694434198908e-06,0.22099769239562525,2.132283296291403e-06
CHIC1,5.709802395989052e-06,-0.20862763637398113,5.5011813156921284e-06
VANGL1,0.024626021687009978,-0.14305231300515867,0.0246248930630986
AC004973.1,1.4385985842085592e-07,0.04117374003543701,-2.9622155361941392e-08
RNA5SP312,3.232008882365386e-07,-0.02164916727544065,2.726577268714278e-07
FGFR1OP2P1,1.941336167553945e-08,0.00025563253848416074,1.9135853372880688e-08
AC108941.2,6.009084158180029e-07,0.2389528798865826,-4.873678598464466e-07
SETP10,1.0739126266863924e-06,0.2784904405039589,-1.0568074660845987e-06
DIDO1,0.004209063375159722,0.06764352816226125,-0.004209063375159722
FP671120.10,4.1188188542120266e-07,0.20193540749611671,-4.118295008929691e-07
AC026401.3,4.814549340037327e-06,0.26973720457461337,-4.814549340037327e-06
AL445072.1,1.3637111545241999e-06,0.13452872050329512,1.3637111545241999e-06
LINC01194,4.4143843152564174e-07,0.08982719427116231,-3.8164304143394074e-07
AC006486.1,1.9244745281611924e-06,-0.01607379692020591,1.8682026370844916e-06
AC135782.3,3.0445455198199647e-07,0.2400227887404095,7.253936459916367e-09
AC099654.7,5.380252389266131e-08,-0.007063418066440724,-5.380252389266131e-08
AC010913.1,2.108686971788045e-06,-0.2815326835703148,-1.8170034901590426e-06
PRRT1B,4.3378472988451925e-07,0.38755759298054543,2.4763231781909758e-08
AC096638.2,1.273781948152043e-07,0.12942324437849248,9.389567869459487e-09
PSMB5,0.018801487110723485,-0.08173969400651566,-0.018801487110723485
GSTM3P2,1.969267513126817e-06,0.379394819912924,1.8216698836783554e-06
KLKB1,0.0007680367616555916,-0.17576245744176633,-0.0007676231493546624
