,absMeanSHAP,spearman,meanSHAP
DNAI2,1.6697378026262102e-06,0.027915099415987372,-1.495784573262294e-06
DUX4L34,1.3306967096587058e-06,0.04134329356871317,-5.427104388795515e-07
RPL12P12,7.540047493960867e-07,-0.21730839690835918,-7.511138684829472e-07
CRABP1,0.00036894293591309716,0.2543160562511108,0.00036894293591309716
AC096677.1,3.4262853849429637e-06,0.13533518160913657,2.62149721103106e-06
AC136475.6,2.6340469269463125e-07,0.0019483367840213135,2.2442939966454944e-07
LINC01076,2.863913927406944e-08,0.016193225293975058,2.842240501888071e-08
SOX14,4.811532779579044e-07,0.10335233804145061,4.6515494764444475e-07
TRIM68,5.86603814847522e-06,-0.34817006619097585,-5.163649728089446e-06
AC096919.1,7.965079138684533e-08,-0.1379080441958967,-1.4893170482611978e-08
AC010196.1,1.2965498584004114e-07,-0.20455694594600274,-2.7797985327581866e-08
SLC25A10,0.012802969975270787,0.15988704241520602,0.012802969975270787
RARRES2P3,4.5652238212797706e-08,-0.038645174110792484,2.614268377119938e-09
RPL18,0.007164258818769134,0.1610158596920161,-0.0071454592084370635
AC010997.2,2.6092676332169867e-07,-0.09425438856534332,-8.814742611837385e-08
AC104046.1,4.10105043343879e-06,-0.08268833173491173,4.048436501721497e-06
AGTR1,3.3815606070400688e-06,-0.5940756594345493,-3.3767386590365443e-06
AL732372.1,1.6393240447707573e-06,0.2412526994822908,1.6393240447707573e-06
LZTR1,0.005952341502914491,-0.21917964503058485,0.005952341502914491
CTRC,7.566392175471263e-06,-0.27722946189267605,7.565813274469404e-06
ZNF148,0.026113442157717947,-0.2173557583106396,0.026113442157717947
TRIM36-IT1,3.473437598215927e-07,-0.14708465365494422,-1.5567578653178135e-07
AC106788.1,6.187483079101417e-08,-0.048034092235443145,4.365411918873047e-08
AL954642.1,4.443284541410638e-07,0.10516380738696238,3.5154942255108717e-07
AL356966.1,2.507673734586383e-06,-0.3757835562648938,-8.733581667616171e-08
AC004528.1,1.3152972219115846e-06,-0.2961088261817546,1.2792007816043349e-06
GRB7,3.141449186707161e-06,0.026515454084763922,-2.1154326725786637e-06
AC011377.1,3.655832983661275e-07,-0.27546971262563025,6.077821912149248e-08
