,absMeanSHAP,spearman,meanSHAP
RNU4-74P,1.510811531957445e-08,-0.04677114916209662,9.124208887858555e-09
TERF1,8.202948366629424e-06,-0.2786826384989157,8.202948366629424e-06
NOTCH2NLC,3.303355217087742e-06,-0.20192460841274706,2.062491490728539e-06
ERLEC1,0.0216797398421143,-0.0010099409728260476,0.021677522004031866
SCDP1,5.731178926044356e-07,0.11175673978755177,-1.3790995536060452e-07
ZNF582,3.32066510787407e-06,-0.433117116202109,-3.32066510787407e-06
NAGA,0.03330822453606383,-0.27524071514371834,-0.03330550859123371
RNA5SP71,4.8508392041360426e-08,0.010928624817273,-6.07833625616711e-09
DDO,2.140484359137846e-06,-0.5558414088005282,-2.140484359137846e-06
DMPK,9.554125449449465e-06,-0.25057135445789175,-9.554125449449465e-06
AC027013.1,7.330597584026078e-07,-0.3834978398253659,-4.450680537889055e-07
ARL5B,0.004177924535428293,0.0073158049441304504,0.004177924535428293
NANOGP10,8.632577695864592e-08,-0.06012067088489646,-8.632577695864592e-08
MIR3065,0.0,,0.0
AL391069.3,2.745103353235545e-07,-0.2223716408553411,-1.5549872730819047e-07
SYT11,9.146400358634618e-06,-0.20745391039287536,6.168597721546173e-06
NCAPH,0.012448999924822644,0.5138863673499704,-0.012437350198114427
AC068014.1,3.3379592187899474e-07,-0.11246118860904708,-1.6943045246974722e-07
CD59,1.285396593662724e-05,-0.39726120797015824,2.067815877666286e-06
NOTCH2P1,2.1229013238019474e-07,0.015007512493420418,-1.8121685104255199e-07
RNU1-104P,0.0,,0.0
AL158047.1,3.056918363697348e-07,-0.056821051632034214,2.859269702544747e-07
HECTD1,0.00536961804016069,-0.3427614448231762,0.005358199148431401
AC122683.1,5.0346225274877685e-08,-0.12539303599469628,3.756366185243881e-08
AC135166.1,5.13845406937398e-07,0.12919862716886246,-7.825764681526325e-08
SP3,0.009139737232070575,-0.07625807718429746,-0.00913564708641358
AC016542.2,1.7853986007937718e-06,-0.3221309039933178,9.389143346754746e-07
AL445309.1,1.560008974602965e-06,-0.29122035301303245,1.4290614992400786e-06
DEFA10P,2.3407093189019438e-08,-0.025194129930922356,1.8238573342049128e-08
NUP35,0.015053966805613382,-0.03690691827823434,-0.015049354553007403
AC099667.1,7.079025259976355e-07,-0.2847371058362204,7.052160411944493e-07
NACA2,1.0425021277645698e-07,-0.05319772964135772,-1.0112702502695604e-07
