,absMeanSHAP,spearman,meanSHAP
USP38,3.9847054672031056e-06,-0.1399912000005914,-7.217989193042249e-07
PNPLA2,0.004294518904020197,-0.29755005492944964,0.004288013755256611
AC011228.3,2.890150220530761e-07,-0.08620349522251022,-2.0201710099946653e-07
MIR5707,0.0,,0.0
AC026191.1,1.6463520516735744e-06,-0.11621390255275907,3.8801945511297015e-07
ZNF37CP,8.328942328664533e-08,-0.23203369360235518,-7.81195570147557e-08
LINC01320,3.0899156222287658e-06,-0.17500442501424127,-1.7288496960967834e-06
NAPSB,2.164808993177931e-06,-0.10521361299506371,2.1631979671363658e-06
NPM1P35,2.962206153078792e-07,-0.0958506213215518,1.8908474845623594e-07
SNORD116-2,1.832192736732435e-06,-0.3724807732989577,-1.6845452156793585e-06
CDC25B,8.482350597359837e-06,0.18665934397906858,8.462998064960576e-06
MIR1303,0.0,,0.0
AL080315.2,3.2248026163113834e-07,-0.049794831744490634,-2.320372858883753e-08
FNDC5,2.544729782483984e-06,-0.09149242346262569,-2.114956709369852e-06
AL360176.1,1.443121913998794e-06,-0.10247852340400934,1.431438634398537e-06
AL035530.1,5.459849400270212e-07,0.031266247130490095,-4.869979599929962e-07
DSTNP4,8.438713854337472e-08,-0.04544571941416661,8.438713854337472e-08
DOP1B,0.029413634705922124,0.14493528927515517,0.029410393950617474
GLOD5,4.081113987266952e-06,-0.13866427184372077,4.028721060950449e-06
PCMT1,9.17069673978314e-06,0.005813017124822874,8.100785560899148e-07
CR383656.5,4.759376185040883e-08,0.02705364954009387,8.18606836323152e-09
AL133271.1,1.0212599094468957e-07,0.010084951886473072,-1.0212599094468957e-07
CEACAM16,9.9094791565788e-07,0.004819887442616413,-9.114047278905421e-07
MYH7,5.971440050912631e-07,-0.06195949419714202,-5.566024574432803e-07
C8orf48,3.8004268892014826e-06,-0.2136030766759345,-1.3843331764287544e-06
ZFHX3,5.609831159349944e-06,-0.04008119018438131,3.083337238035654e-06
AC090220.1,3.6505161744325387e-06,0.004634622737152244,3.0369822599844776e-06
AP000474.2,9.716025619390078e-07,-0.13814362509682565,9.379580734134793e-09
AC104633.1,2.3183292693055378e-08,0.011194990178860756,1.1003255086598724e-08
AC069271.1,2.2537940149044368e-08,-0.015272237791813246,5.841454193936235e-09
AC009084.1,1.2566840333588945e-07,-0.3564884260185335,-1.105263256357312e-07
AL139008.1,1.0362524161210096e-06,-0.08660099365688537,-1.0362524161210096e-06
CCDC3,2.17382308325223e-06,-0.09601336465727058,-1.4817176996375461e-06
HMGN1P5,4.660020379740238e-08,0.0010030847802231838,4.137586850137881e-08
AC023090.2,1.1303362362698685e-06,-0.2422631909712414,1.0683711526852136e-06
CDY22P,6.294779802002391e-08,0.00042338796063762517,-6.294779802002391e-08
AC092718.5,2.4641362503574558e-06,-0.16012281070633946,2.430104111100445e-06
POM121L3P,1.5720087344471712e-07,0.0326472033106642,-8.940573502665151e-08
SLC9A9-AS2,2.036829914975247e-07,-0.11432632236555192,1.7917234982389553e-07
CBR3-AS1,3.105886814959905e-06,0.013969063436303565,2.713922444252284e-06
RPS29P13,2.1494279168595225e-08,0.02269289524360448,-2.1492730396815963e-08
LINC01109,8.417455825834299e-08,-0.22047859673747272,5.926715404641846e-08
AC026124.1,2.891490293600233e-06,-0.21970573142457506,-8.092779116345923e-07
AC016582.1,1.799023913737681e-06,-0.12125725691598155,-1.799023913737681e-06
AL359987.1,3.3951680712668365e-07,-0.0878417790230934,-3.394149508137467e-07
AC020658.6,9.405669615745059e-07,0.06749789351058233,-9.14945978858217e-07
AC004080.16,1.177776702832034e-07,0.04440262567628969,7.028862981088872e-08
FAM90A14P,2.887875692015692e-07,0.0071793794900278035,-1.299051851402744e-07
AC051619.7,1.3497248564457013e-06,-0.26599871822896054,6.28925155893915e-07
FBN2,0.014746046181400796,0.11420228419791108,-0.014730529336396007
TARDBPP1,2.191894233818682e-07,-0.049149354628248446,-1.5328463374878904e-07
AL117692.1,1.3948443045137113e-06,-0.2731954148803276,1.3912291536351003e-06
GTF2A2,0.012019481449768239,0.20532373266996234,0.012019481449768239
BMP1,0.0077983298351935754,0.0760248507211072,-0.0077919290529051485
PRPF19,0.02626578444182503,0.2932806858452265,-0.026264479741756944
C6orf99,9.602535426713915e-07,-0.030894697818203826,-5.487548586868173e-07
AC011477.6,1.0221759035043925e-07,-0.002050098585273413,7.000566771034742e-08
MIR5685,0.0,,0.0
RPL7P21,2.8015926837976766e-06,-0.12275340457240391,-2.8015752058278304e-06
Z97988.2,7.85675077492848e-08,0.001501128880971239,-7.85675077492848e-08
IL7,5.372152411259568e-06,-0.09625804057967942,6.079779665543042e-08
ADAM32,3.1846492203224275e-06,-0.1072333851719282,6.228663365680056e-07
MIS12,0.005426829670411134,-0.03800416060922462,0.005426829670411134
GK3P,5.4575644862683224e-06,0.019473501861909718,-5.2932708204463205e-06
MRGPRX5P,9.982448185944656e-09,-0.021394444102053756,-4.281907211566895e-09
AL158168.1,1.3139063699485636e-06,-0.3577807569109206,-1.1509234913867917e-06
NIPSNAP3B,5.570360864054251e-06,-0.37796130188894195,6.577352071573585e-07
SNORA80A,2.3827669793911895e-06,0.04198818767335246,8.734766816554698e-07
MAFG-DT,1.5493591990652983e-06,0.25461055331970767,1.227591061658645e-06
ZNF709,3.1822063284465946e-06,-0.4109955766960481,-3.1815414585599584e-06
AC147055.1,8.672512355682181e-07,-0.2240701372979362,-8.672512355682181e-07
AC067930.8,1.1116408322232865e-06,-0.18036244748653463,7.007320468451252e-07
AL139021.1,3.795032668955509e-07,-0.036040805040990484,-3.6830399843367794e-07
AC006504.4,1.1400053173067599e-07,-0.2826116259791779,1.0540281994619119e-07
AC008834.1,3.5588890130771954e-08,-0.002555789675853729,5.811803141088705e-09
FO704657.1,1.2520615844564958e-07,0.10276197474293218,-1.177422880130927e-07
MRPS7,0.02044285493239615,0.07141481528312406,0.02044285493239615
TMEM38A,7.915986570769946e-06,-0.21083500620176207,-7.915986570769946e-06
RNU6-1209P,3.120123891616193e-08,-0.01438905639882108,3.0101353528458565e-08
EPB41L1,0.019524257650204137,-0.31944515729370776,-0.019523280960601797
Z94057.1,2.4409152878802053e-07,-0.06305090310865509,-2.4382140998260957e-07
PIEZO1P2,1.9611097926551276e-08,0.0008621940380731326,1.5182284175580405e-08
RHEBP1,1.7026850073025762e-06,-0.05269858427526573,1.7026850073025762e-06
SDCBPP2,2.9118602966686495e-08,0.044598885040711675,2.882121058880915e-08
COPS7B,0.019053345398635988,0.26516296083659463,0.019053345398635988
AC022467.1,5.306470107199669e-06,-0.03535168929501379,3.5787153119191666e-06
BCL2A1,4.388401961964919e-06,0.20518903548847486,-4.288891723664552e-06
OR51A10P,6.718915887173787e-07,-0.3743934314605831,3.588948683743659e-07
AC090651.1,3.57535055545343e-07,-0.24126451875899926,2.1221304712713889e-07
AC091544.5,8.633260554170238e-07,0.01953490698095658,-6.535207167888274e-08
RNASE6,0.014913000238213299,0.010964675227198215,0.014913000238213299
AL136981.1,1.3383117012298836e-06,0.044671335624469885,-4.585207861144174e-07
AC091390.2,1.9018868402254617e-08,-0.02061542592231576,-4.891342773047889e-10
AC011933.2,2.5367904947295055e-06,0.02850226673015968,-2.5349763417499167e-06
AC079835.1,1.983080914190798e-08,-0.0631529081713708,1.9591114235045803e-08
AP001793.1,2.3767680671867366e-06,0.02622933472517718,1.0394745220015747e-06
AC007317.2,3.326444396506135e-07,-0.0170092088913033,2.3629525261233798e-07
COX6CP1,1.497826026441099e-06,-0.06597988053152079,6.175573102055775e-07
FAM230J,9.75151402825868e-07,-0.06246433872787992,9.75151402825868e-07
MIR4536-1,0.0,,0.0
MTATP6P18,6.112506144425083e-08,-0.04258736716785763,-4.9984424817488665e-08
AC099677.6,0.0,,0.0
CCDC59,0.02029885156525376,0.06763717691569232,0.02029885156525376
CLCN6,3.0744695631921106e-06,-0.39477424491448715,-1.5728605346565496e-06
MPHOSPH9,1.0163972070944706e-05,-0.09424593676708817,1.0163972070944706e-05
AC092447.9,4.119615442013503e-08,0.026683803956763525,-4.119615442013503e-08
TNKS,4.476803055097147e-06,-0.25715344911730886,4.476803055097147e-06
AC109460.2,4.8819803643094156e-06,0.0918378874948663,4.292937082633719e-06
TAF10,0.00836771185652708,-0.20061891386356748,-0.00836771185652708
NOTCH1,0.0389518751375065,-0.29450113937721534,-0.0389518751375065
EEF1DP4,1.3739095633152745e-06,-0.21969339865543386,-4.3020168154330973e-07
TAF9P1,9.492902527797352e-08,0.02319843106865576,4.781859549250684e-08
AL133331.1,1.0904530510481801e-06,0.04465737264486524,9.930815010360768e-07
PIDD1,4.064083831629688e-06,-0.022535928187574925,-2.639820358066979e-06
AC124319.2,1.6981903339215757e-06,-0.20547917944056032,-1.322624185371886e-06
COX7B,0.022068892416439393,-0.06555356322008367,-0.02206633532657729
WBP1LP1,5.245550035453111e-07,-0.010173508094812602,-5.043283658773157e-07
SSTR5,5.410125164648305e-07,-0.16329040066569983,-4.4155426769922983e-07
AC087257.2,2.087818597542067e-06,-0.2713057919321789,1.5002694487991641e-06
AC091980.1,1.0120997598074781e-07,0.10509698714624556,7.774797401358434e-08
TMCC1-AS1,6.256690810307457e-06,-0.21434439556864845,6.2549707081102586e-06
BX842559.2,8.999556799008608e-07,-0.4123167066509133,-1.2479191532591512e-07
MIR499A,3.014844493956338e-08,-0.014100541365354609,1.0910487635352513e-08
RN7SKP222,4.0375893985084256e-08,0.04861390789268788,-4.0375893985084256e-08
AC005379.1,4.46135229125393e-07,0.0574926289143442,-1.9499260173704364e-07
AL035078.2,1.3437386860550397e-07,-0.01020299373872318,1.2624527479116418e-07
CXCR4,4.80889924304154e-06,0.069713051636051,3.2140528866264856e-07
SNRPGP8,2.1570817940142107e-08,0.03257760450019251,-9.985226086754103e-09
RARRES2P6,1.7370334793137167e-07,0.14013336070989332,1.3416957862349467e-07
OR52E1,4.200386798786138e-08,-0.08709466217830832,3.175579061540544e-08
TYW1,0.0014190252507624444,-0.10733335829097332,-0.001413224654669168
AC100775.1,1.147932342609638e-08,-0.010934822393862585,-9.680271876574333e-09
AC112229.1,2.540775351935576e-06,-0.12943245262479608,1.1120949624960126e-06
AC074051.4,2.9100476558990864e-06,-0.36778345646351457,1.8643220460569446e-06
AL645998.1,2.5614097590782345e-07,-0.1444767759201347,1.6682537464081697e-07
CDH1,0.017130563767933874,0.39146390274646103,-0.017127976655719784
GRK6P1,1.5127303923483837e-06,-0.24878173212915114,1.7356078641327563e-07
PSMB8,0.00202321014445886,0.056680413007067644,0.00202321014445886
AL589842.1,1.0860431073446845e-08,0.04682900066944031,-1.7001605952210606e-09
TRBV6-2,4.5752554156388605e-07,0.08960799891654989,-4.503154379697706e-07
AC016597.2,1.6610641989893936e-06,-0.052131821518674855,2.3082749786489188e-08
AL365205.1,3.2150002067125193e-06,-0.03328862104165173,-3.206545936298901e-06
AC104237.3,5.299997313705619e-07,-0.2009412059544427,-4.968976719019917e-07
AC010469.1,6.403222650323698e-07,-0.5009091790749668,6.338230627201422e-07
UBR2,0.02422142264190166,-0.23576938123349062,0.02422142264190166
AC009879.4,7.512600845817899e-07,-0.24756498497391183,-7.499726628056981e-07
LINC02793,4.070906220810763e-08,0.08596850659811739,5.909734676081638e-09
SSXP3,6.533390876557792e-08,0.025750526373181298,1.8149630184418212e-08
AC020704.1,1.4846813717987602e-07,-0.06058355495175262,1.4846813717987602e-07
MMADHC-DT,1.0077646324135367e-06,-0.4782329340288924,2.397502822977017e-07
MTCO3P8,5.346802433243665e-08,-0.09450312680571149,-2.011407898812749e-09
AC079250.1,4.61333382353844e-07,-0.05536498282153429,4.612312538470416e-07
AC106782.2,2.194506534851984e-07,-0.11960024894042266,-1.4144243847658664e-07
AC025470.2,1.0119027448844407e-06,-0.1684350102380094,-5.08665522849249e-07
AC131156.1,2.1708301974786255e-06,-0.10696182062311646,1.6268960796802224e-06
MTCYBP33,4.1599005267506317e-07,0.02904258437265663,4.077096150447607e-07
AC005258.1,1.371389625593973e-07,-0.02929424153668035,-3.372926423084487e-08
FXYD1,0.03163715691010712,-0.3725936068854093,-0.03158755213053766
AC004692.2,2.773482816946853e-07,0.27663136155092966,2.6327755377827095e-07
AC099785.1,2.7707866255881423e-08,0.06929662819116546,2.3014019448762694e-08
RNU6-486P,7.844195842826783e-09,-0.04461536896763706,-6.65758176709178e-09
AC011284.1,2.27507267502651e-06,0.11701922547771595,3.975003512301691e-07
AL157904.1,4.347059967257852e-07,0.042041458349234936,-5.927059280102903e-08
ATP6AP1,0.006201779006783656,-0.07415810517746287,-0.006201779006783656
POU6F1,5.2321701409400145e-06,-0.405916510096374,-5.2321701409400145e-06
ADAMTS9-AS2,3.730192284917719e-06,-0.49906944215206744,-3.726935727704538e-06
AC022182.2,5.201141754634428e-06,-0.12120396229049638,3.6241172713326906e-06
AMER3,1.3354605464455635e-06,-0.1146075243597725,1.2844977656942026e-06
AC009055.1,5.869898940855699e-07,0.15440256644493053,5.22716464121003e-07
AL161734.2,5.43410181850437e-07,-0.2543892408267559,-5.428256834061485e-07
CEACAM21,8.015161848920098e-06,-0.04745702205364727,5.039875266962489e-06
AC093270.4,4.77128509769946e-08,-0.0057362130172018775,-4.770759242151775e-08
AC121161.2,8.582912967262222e-08,0.05300270516275652,4.3504569876619876e-09
OTX2P1,1.8656979839366602e-07,-0.005017337869397261,1.471014893469935e-07
MIR4644,2.984513410379758e-09,0.0231614758090748,-2.984513410379758e-09
CYCSP33,1.4618368721932465e-08,-0.05782144424151841,5.037876514590778e-09
AL049646.3,4.909533976244184e-08,0.008611294822853619,4.340116400311456e-08
RN7SL794P,8.046536277028693e-08,-0.0376092905176652,-5.639725295878647e-08
GTF2B,0.01846304515228728,-0.020154594712352703,-0.018459738734659628
RPS27AP3,1.0584715238065834e-06,0.029331750363490474,-1.0462811822293248e-06
FRMPD2,2.091088748106797e-06,-0.3097251708770804,-2.068613073955945e-06
AC005753.1,2.701533090737432e-06,-0.2841775305771852,-2.5985675912121617e-06
AC233263.6,3.543139681329558e-06,-0.32759707688388984,1.7441358815640079e-06
MEX3D,5.756718827655727e-06,0.2060578032998038,4.911836403555168e-06
RPS27L,0.020000677855881957,-0.318324477463497,0.01998868959508757
KCNQ1-AS1,2.0620035591033188e-07,-0.13659758942329567,-1.3108638540934438e-07
SULT1A3,4.282709796890544e-06,0.016398867955130656,4.2741352708996715e-06
AL121897.1,7.21328118367787e-07,-0.12208472186203186,-3.8067059482911515e-07
RNU6-1095P,1.7098257900010363e-08,0.011521892204209,-1.451607915685067e-08
UGP2,0.007316804928074269,0.14341439930223016,0.007303077759466035
MON2,0.049842674988326556,-0.20019669556339312,0.04983911148021531
AC011195.2,1.1030254183249004e-08,0.013663324384849167,-9.548968790540921e-10
PPIL6,6.39244091846274e-06,-0.3672648899263589,-6.39244091846274e-06
ZNF429,3.832468255210259e-06,-0.35984700541286585,3.832468255210259e-06
TTC9C,0.013915321269848027,0.06798207023274822,0.013915321269848027
HMGB1P41,3.3194834050107764e-06,-0.34392052577784876,-3.291848058459567e-06
AC007221.1,7.539141685549833e-07,-0.3179046172259985,1.4194957454397773e-07
AL121772.1,5.000864435824478e-06,0.023243815245101006,5.000859935922654e-06
OR52L2P,8.684405856935084e-07,-0.03111495385242002,8.684405856935084e-07
AC107029.2,4.03623074185944e-06,-0.1890962692096782,1.5123462510956748e-06
FOLR1,2.21239703204935e-06,-0.0847936191315806,-2.144705651504759e-06
AL139288.2,2.4006055365943445e-06,-0.17077328440795658,2.4006055365943445e-06
LINC01235,3.2951528141548333e-06,0.012518885558893196,-2.0089797807345945e-06
AL391361.1,2.122090399746716e-08,-0.06953825752335392,8.43405865978979e-09
ATOH1,2.8506178329969285e-07,-0.00032232594555140734,2.5926981701196804e-07
AC008738.2,3.177247093062326e-07,-0.023963901988602893,-6.43596347839232e-08
ARAP2,4.672873981703364e-06,-0.10991881920440183,-4.46108574957587e-06
MEAF6P1,1.0984392300635165e-07,-0.0260355857987002,1.728495592783146e-08
NYAP2,3.7270454169940673e-06,-0.051334746133149395,3.716908983719385e-06
AC012574.1,5.0427780789797656e-08,0.046432663806835285,-2.30386304561625e-08
CNN2P12,1.371821097627816e-07,0.01081873116070767,-4.48804082981201e-08
AL627309.5,7.804087111208399e-07,0.13036528391448193,3.5450513681343e-07
SUGT1P4,1.611050563159537e-07,-0.02340963179028033,1.611050563159537e-07
NDE1,0.003627495860228213,0.24698753942855742,-0.003613131011713736
AL034430.1,1.2580608973057433e-06,0.23984896365231095,-1.1740538328148117e-06
AL109755.2,3.6782538186742326e-07,-0.08056231148696252,2.7450033455592125e-07
CICP13,5.236878301980599e-07,-0.13994897868137665,-4.705239302153282e-07
CACHD1,0.01580335634208161,-0.1497400534577931,-0.01580335634208161
MAGEA8-AS1,2.2062019191818547e-07,-0.0030670018683340732,-2.2032458624491266e-07
GALNT10,0.027761437888215418,0.14106565517224526,0.027761437888215418
ASPRV1,4.427691032041429e-06,-0.4320038824785844,-4.427691032041429e-06
CD244,2.2305185426425196e-06,-0.045342578223975784,-2.2305185426425196e-06
GPR183,3.7683480110239284e-06,0.07044809723032294,3.7683480110239284e-06
KLF18,8.881564775486209e-08,0.042120603300298175,-3.9267996802412836e-08
TSG101,0.002560197469589077,-0.030745599038794643,0.002560197469589077
CABS1,1.9655333766491433e-07,0.03964799151246049,1.9655333766491433e-07
AC008026.3,1.0625915403420713e-06,-0.03462261425662797,-1.059053521930098e-06
FAF1-AS1,1.0857121144860058e-06,-0.06578017549977623,3.23367278169684e-08
AC009365.4,2.935090653894343e-06,-0.14854896775540422,-2.3964191228347287e-06
ARHGAP25,0.016168103994944442,-0.08829240512411315,-0.016168103994944442
TCN2,6.941191677342752e-06,-0.33566003649215675,-6.941191677342752e-06
SLC47A1P2,7.473409730313323e-07,-0.32093212782121344,4.901976789423494e-07
AC015660.3,1.1887187479021395e-06,-0.3526673126965357,1.1551773818715253e-06
AC092001.1,1.6755152506812726e-08,-0.09108730037295286,-1.1436438991947944e-08
ADIG,2.1965350529323647e-07,-0.23754177408120997,-1.4032529821156435e-07
AC022150.4,4.892858717992143e-06,-0.23943731604127735,4.878294771079937e-06
FAM90A13P,4.171201432669253e-07,-0.09058226372844806,-3.808561278857831e-07
RNU6-57P,5.204174371407219e-08,-0.007198833931813018,-1.2893225491411608e-08
SPACA6P-AS,4.355194787991506e-06,-0.2347511560248858,4.352641596092613e-06
AC027682.7,1.2215304718579063e-06,-0.24265804796797424,-3.1021743667386955e-07
AC100872.2,2.233932065569703e-07,-0.11250220579362243,-1.9151272648321037e-08
AC012491.1,1.9255138267122636e-07,0.02856177715544053,1.9255138267122636e-07
DEK,0.030438025274677566,0.25363385389101856,0.030438025274677566
AC007435.1,8.947194796452931e-07,-0.0762426510466646,-8.789481256278477e-07
AC245096.1,1.6558399066021335e-06,-0.17684906057086128,1.6558399066021335e-06
AC022021.1,3.0448466374527845e-08,0.0011632029314998166,-3.0448466374527845e-08
PLCB2-AS1,4.774919362767165e-07,-0.02382469597078814,2.2216937238377086e-07
KIAA2012-AS1,1.3934254727758188e-06,0.04797910015191078,-1.1546403373916376e-06
LINC02495,1.2876139112319055e-06,-0.14004114189672062,-1.1587018538308627e-06
AC023051.1,5.456986422072178e-07,-0.12768651014157967,-3.336692027593386e-07
ARIH2P1,8.462083786769825e-08,0.07240860614409035,8.457358421270314e-08
LINC01446,1.5293378122961416e-06,-0.04580143106385649,-1.5293378122961416e-06
AC114802.1,3.099519714472273e-06,0.15814645070946556,3.0995177711916767e-06
AC103808.5,1.1470491497121146e-07,-0.1426081280734376,1.1470491497121146e-07
AC007490.1,1.0198134660427118e-07,-0.0274612504402698,-6.729615490875094e-08
MIR320A,0.0,,0.0
RNU4-48P,2.2497317027913025e-07,-0.07424729659493046,1.3808330558123872e-07
