,absMeanSHAP,spearman,meanSHAP
IGHG4,0.028134288189274517,0.4351991008991304,0.028134016803383646
AL356000.1,5.76610258147763e-07,0.137431624311858,-5.277124462549023e-07
AL359741.1,1.2119620906593194e-08,0.02661114332635353,-6.912860500939559e-12
AP001053.1,1.6391062749566782e-06,0.29030488067095733,1.608282763249777e-06
TPRKBP1,6.214084915868452e-08,-0.04097659914659232,-4.386852079719402e-08
ZNF730,9.324940100999058e-07,0.10704379088002729,4.069360416303789e-07
NUTM2A,4.178474829364285e-07,0.19143623391469597,-3.3579231146915735e-07
NLGN1,1.0128989597248675e-06,-0.3158666917724914,-8.381961971045518e-07
AC140113.2,8.528411587934064e-08,0.07109402985674135,8.528346708092857e-08
COLGALT1,0.017184051255249296,0.35041626305060847,0.01718307264695084
AL109615.1,1.7210985131528275e-07,0.20264620800293254,1.0455636334211271e-07
AC097532.3,3.8227554792528444e-06,-0.0793555635761241,-3.819884422171524e-06
C2CD4D-AS1,4.912853716379562e-06,0.20948395053967406,-4.912383000025131e-06
PTPRA,0.0033461435015017843,-0.08026612860853666,-0.0033461435015017843
AL161631.1,1.1953597466409374e-07,-0.052608920785885104,-1.1953597466409374e-07
RN7SKP57,7.971588758279556e-07,-0.05077405380825607,-7.971588758279556e-07
HM13-AS1,9.840046764482728e-07,0.14715170164889801,-9.782431083389007e-07
MYLK4,1.5497095187923497e-06,-0.0837906233343239,-1.2667888488221093e-06
AC013356.1,3.6126966417229535e-07,0.18157478380834477,2.9632714096830473e-07
RNU1-117P,2.983321699320574e-08,0.04071468923493437,9.186112541907294e-09
GDPD2,1.412339311031302e-06,-0.4925958533033395,1.3049400717986498e-06
SYT12,5.236983216682481e-06,-0.11247165981601538,-5.236983216682481e-06
STX2,0.010605397995797156,0.1273979884644183,0.010605397995797156
DIO2-AS1,4.013633444823741e-07,0.05229146976167211,-3.66797577020791e-07
APOF,0.007501753925526756,-0.088894700815038,-0.006960788933292022
AC016769.1,5.189181811381531e-07,-0.07775587476821454,-4.62944943436524e-07
AC093025.1,5.64926257663684e-08,0.04791367717896417,2.2455533080986414e-08
METTL7AP1,2.1969008555502536e-08,0.05549114451723344,1.3774239531923332e-09
AL627223.1,1.7575967980887873e-07,0.11923563334483836,-1.2298927126628685e-07
AC105393.2,1.2225173641609561e-07,-0.20389586930395534,-1.2225173641609561e-07
AC006435.1,1.621077868417459e-07,-0.17276190731010627,-1.6189405346829372e-07
AC018659.3,7.122106988095407e-08,0.28276474860866113,-7.108720597423058e-08
SNORD100,1.0739446873060893e-08,-0.037313377173605916,-4.535281929163348e-09
AC005962.1,1.8308362492457335e-07,-0.11708109585739761,-1.2320243407067117e-07
AC025263.2,1.2044665310109251e-07,0.06620417661324328,1.8037485931746996e-08
SPATA33,4.683845639398918e-06,-0.2646522004661836,4.052957801904767e-06
RN7SKP242,8.748348769540407e-08,-0.253822495894348,-4.1982355586375805e-08
RPS14P7,1.442621502550414e-07,0.1360192416570588,-1.442621502550414e-07
ARHGAP42P5,4.6886506682250683e-07,0.10700523058927694,-4.655591295589451e-07
EVPLL,1.535627752309062e-06,0.3617344256584319,1.4333310343309767e-06
AL450998.3,4.310630576087427e-07,0.10073038218086364,4.259090223809206e-07
AC009044.1,5.461867989216234e-07,-0.04242814293100923,1.325438342892977e-07
AL021331.1,6.562574657481314e-07,0.04394041831311128,-6.562537763399013e-07
CMTM4,0.010502987728521434,-0.054629117128976314,-0.010502904657745142
KRTAP2-3,3.1547024812760155e-07,-2.5131363081661373e-05,-2.3481467854261804e-07
AL358472.4,5.15299696506879e-07,0.17272654796602666,4.870785010588739e-07
MORF4L2P1,6.480133643826802e-07,-0.41075226678024707,5.519020895745604e-07
LINC00664,1.003181247226232e-06,0.06529567694108925,-9.95758381033121e-07
