,absMeanSHAP,spearman,meanSHAP
TNS4,2.0715353604653073e-06,0.2760601497538289,-2.025930814171582e-06
LINC00377,1.2903737829570288e-06,-0.25445844940701995,-5.505166500757801e-07
SLC52A1,2.5472772570553177e-06,0.180557120764688,2.522421681426629e-06
WFDC6,6.605559254462564e-07,-0.0036863774520169033,-1.0560126673915992e-07
NAP1L1,0.013605049548951665,0.06277406198384589,-0.013605049548951665
AC017033.1,1.0216209043980152e-06,0.11441035826245506,-2.822598288413329e-07
RBISP1,3.3164541571627983e-07,-0.08361204591987002,-7.743409796005013e-08
MTND2P3,9.472195284351958e-09,0.01280693368266489,5.459932322108228e-10
TMX1,0.0234834037861226,0.1882220439201232,0.0234834037861226
AC004847.1,3.6056219755909965e-06,0.14896145011832357,-2.2801080495913585e-06
AC005908.2,7.517441027315153e-07,-0.0821950434112187,3.393595398650041e-07
RNA5SP481,2.499481662152822e-08,-0.019401895802073223,2.499268252676808e-08
POM121L10P,1.70817211810485e-07,-0.008605849057258438,5.883950209222525e-08
RNA5SP220,1.4652685774590404e-08,0.01786742419557199,-7.986715386431478e-09
VN1R2,1.2802588741486242e-06,-0.038874147150356975,3.9629831290564105e-08
MIR4647,1.7307072577485238e-07,0.024172489931685033,1.0780604689926692e-07
AL132642.2,1.614848976877031e-06,-0.07112712254283944,-1.1456811456281721e-06
ACP6,0.022719963498003513,-0.13368098025932984,0.022719963498003513
AC139795.2,6.35641885990357e-07,-0.07562475697669614,5.490226841243205e-07
MRGBP,0.005071494659219646,0.3219262354641386,0.005071494659219646
THAP12,4.205555228867217e-06,0.1578852181804347,2.9968687638261895e-06
OR6R2P,1.1516408192542665e-07,-0.0873150361973037,-3.295574487789229e-08
OR6C4,7.990790109885215e-07,-0.024659054987896067,-5.350450606954609e-07
AL080243.1,5.791358270629642e-09,-0.044804804464277474,-5.77527395330761e-09
AL139280.2,1.2532298950203265e-07,-0.09231366608364773,-6.95678437891394e-08
PPIAP84,4.1472772351091816e-07,-0.21150189794391325,-3.670469461662194e-08
LIG1,0.0230819524247273,0.4282717970553678,0.0230819524247273
AC024558.1,4.391577067957168e-07,0.07228998745338766,-7.966760976567306e-08
AC087741.3,1.2772152270651242e-06,0.04710220028103511,1.276495988996995e-06
AC245100.4,3.5002096929670228e-06,-0.10340538210878503,3.0105891461798287e-06
OR5M3,5.7469634695373624e-08,0.01960941988716709,-5.7469634695373624e-08
TARS1,0.0034315439280626636,0.412993225901138,-0.003422851520831613
JMJD7-PLA2G4B,3.0176540066394346e-06,0.09968248367895624,-2.1306864802089859e-07
TTTY12,3.357301209946961e-08,0.03985632111540181,-3.357301209946961e-08
AC009802.1,9.180591493040886e-07,-0.0638412902001691,-8.500784443454033e-07
AL355677.1,2.9442233986898404e-08,0.04177158254124043,2.5197804647694687e-08
PLGLB2,3.1993225583892933e-06,-0.18154938111417282,3.0003691987385377e-06
SPINK6,1.9021759079288753e-06,0.25828107886173113,1.1768069225051603e-06
AC084824.5,2.8538142068348367e-06,-0.020639710666403067,1.5526138517693748e-06
RNU6-255P,2.51173383662438e-08,-0.018099541948555897,-2.960018598829098e-09
AL355312.2,7.5878927748775355e-06,0.026840876811583345,-6.695628509762591e-06
RNU6-1192P,1.8361978070063567e-09,-0.044415535963284625,1.3984012657779735e-09
ARHGAP26-IT1,8.392218067398407e-07,-0.1734108278680281,6.883039739260159e-07
SNORA80B,1.010456077655908e-05,0.13533987311026355,5.8773930297551755e-06
AL118556.2,4.782455711256899e-06,0.07583600700230254,-4.76530279344709e-06
AK1,0.03371204560338719,0.03030673279240927,-0.03371204560338719
AL391834.3,3.5079588297558326e-07,-0.09954976613999403,-1.856797518159579e-07
AC006372.4,2.924238640556396e-07,0.02006071421322639,-2.924238640556396e-07
POU5F1,4.3797529305877216e-06,-0.28176623390558825,4.178376718771413e-06
RMST,5.52248817091508e-06,-0.41580409245622885,-9.716995815669675e-08
NES,0.01753026263164982,-0.24499035412870596,0.01752096219730384
RNA5SP330,6.746328456353233e-08,0.001603679478500445,-3.960798537666995e-09
AC005392.3,2.0992005677885676e-07,-0.0035089355562891067,1.3223167795788122e-07
TEX101,4.217792537570789e-07,0.29031016763425915,3.9081170466461755e-07
AP5Z1,0.002783329093984586,0.08165599721512314,0.002783329093984586
