,absMeanSHAP,spearman,meanSHAP
AL031600.1,6.94460770180575e-07,0.034101718515232006,-6.748357424340879e-07
AP002008.2,2.2435972436355145e-07,0.16079378406612915,-1.7511534340844192e-07
CHRDL2,3.5690274084476196e-06,0.009744690991236793,2.0358812862295213e-06
STEAP2-AS1,1.8005345603534183e-06,-0.2209858899686576,1.6574285915262165e-07
ZFYVE27,4.696998062679692e-06,-0.2778192139570201,-1.5819330427899244e-08
OR51J1,1.5828188821785941e-06,-0.2406247732298884,-1.5828188821785941e-06
PPP1R3G,0.02412807710885726,-0.23649133671393277,-0.02412807710885726
AC016868.1,4.7989752285008464e-08,-0.03542191128974597,-1.2835735381350874e-08
AL355143.1,7.06553079006395e-08,-0.06190779526044024,-6.821659829630657e-08
ULK3,0.01215443345650829,-0.3065537687761337,-0.01215443345650829
TYRP1,3.184357496151128e-06,-0.008989343234037614,-2.4814913976267865e-06
PRXL2C,2.0514894835182946e-06,-0.0730733472389846,-9.859324703143702e-08
AL133461.1,1.5246868483629823e-06,-0.1381339295379302,-1.2299542083395912e-06
DDB2,0.0019414600202176907,0.023003607242404956,-0.0019389456180452552
AL512604.2,3.6756816132992426e-07,-0.0006055912852529385,-3.571958319875336e-07
C8orf44,4.438007379329874e-06,-0.23254158476079614,4.438007379329874e-06
AC010538.1,4.62195309589044e-06,-0.2416332929305978,-4.6215079601870204e-06
PRAMEF35P,2.6611348467538117e-08,-0.0036599746877884823,2.2745569128931653e-09
MED10,0.0022777196878392444,0.3179764211002346,0.0022738169951538293
POC1B-AS1,2.9088466088993695e-06,-0.3905976725740237,-2.587216493067054e-06
RABEPKP1,1.509992345599034e-07,-0.0661945616723769,1.0791821524488356e-07
SPATA2P1,7.974175007850853e-08,0.02653798558513221,5.172393718999137e-08
THAP7,8.550939161300325e-06,0.0076998632034948455,8.550939161300325e-06
GUCY1B1,0.04545574702570151,-0.2525856944497673,-0.04545574702570151
FKBP6,1.4206972372919905e-06,0.06081910192893431,-1.7418259641936668e-07
MTCO1P21,8.283913318381049e-07,-0.08436297064383629,-9.608427968232381e-08
ALG2,0.014590526594937104,-0.15181386363939212,-0.014587958593295276
FMN1,0.0043042622682400505,-0.12377876335833345,-0.004303448122464056
GNL3L,0.001091924985032108,-0.037840761255927904,0.001091924985032108
AC099548.1,1.7299309066068943e-07,-0.07261746558345952,-1.5620462519359852e-07
RFT1,0.014778823032001159,-0.004260106028718122,0.014778823032001159
AC074008.1,1.201145677643683e-06,-0.1509488986700234,1.101505336548177e-07
AL596442.1,4.49690782635501e-07,0.08901131523170158,4.479039341483996e-07
PPP1R35-AS1,4.3131929415838373e-07,0.006871046701749446,4.297149441456495e-07
AC106033.1,2.8247194208475832e-08,0.044621338225236146,2.3757361818934566e-08
AC123567.2,2.315810562836201e-06,0.1114569810000554,-2.315810562836201e-06
RN7SL748P,3.694813381470442e-07,-0.05956779956528033,2.833619744396086e-07
BLK,5.765985772944885e-07,0.23781267552572619,5.062575463842924e-07
AC024267.3,8.145044746890473e-08,-0.019320839889022775,5.381179647005514e-08
AL161727.1,1.497998962816335e-07,-0.012985879438976606,-1.656645014847809e-08
AC069240.1,0.0,,0.0
DEDD,8.641372120377814e-06,0.0639808730538015,8.641372120377814e-06
MIR556,0.0,,0.0
RN7SL250P,4.7189341666922667e-08,-0.021074339441978295,-1.0900408339211987e-08
DLL4,7.957340463541595e-06,-0.1455215137813683,-2.2472353810123474e-06
LINC02443,7.922296361712244e-07,0.29838772237913114,6.079740077561787e-07
AC023245.3,0.0,,0.0
FAM8A1,0.019779378252588086,-0.2788709322850216,0.019776839754345646
AC095052.1,2.0768265483137823e-07,-0.3193423959954403,-1.5480462568834063e-08
AC016553.1,8.182898944975567e-08,-0.3485310453808335,6.835458764177676e-08
RNU6-562P,3.556062259496097e-08,0.043798930332125105,-3.556062259496097e-08
RPS27AP12,4.202908188431424e-06,-0.04958514349671974,2.705073070111918e-06
SERPING1,0.0983834331652958,0.1652937234377556,0.09837722230528242
IGLVI-20,9.578517130853758e-09,-0.03359387163568328,9.578517130853758e-09
ZSCAN21,1.162913699321452e-06,-0.3249616203268345,-6.419144992518641e-07
OR5AC2,3.689010831563349e-08,0.04336333974507177,-2.7599694376326797e-09
THUMPD3-AS1,3.3882287777443883e-06,-0.17802519594032648,-3.3882287777443883e-06
AL109920.3,6.379964740535272e-07,-0.2686722322255332,3.192422894190474e-07
RAB43P1,4.597833824392291e-06,0.08148350738270407,-9.473338305390639e-07
CPLANE2,4.360850243439237e-06,-0.29370036347030726,1.0873851553346945e-06
TMEM59L,2.3496057274341976e-06,-0.1656588140569854,-1.0447377292845902e-06
AL021918.3,2.795483674175066e-07,-0.1321234648433416,-7.36394739064778e-08
LINC01545,1.1481046890761045e-06,-0.058547516996717446,-1.1481046890761045e-06
AC097460.2,3.2356293554160046e-07,-0.04736478891619963,2.1537278170537273e-07
TFAM,0.013968547093273794,-0.027067739056099896,-0.013968547093273794
IFT122,0.0026326797842288786,-0.34008715716587723,-0.002625116704503002
ST6GAL2-IT1,3.405548099217777e-07,-0.09984246863929361,3.101597574307476e-07
ZNF197,2.9776552074313733e-06,-0.2858420160058619,2.9776552074313733e-06
AC104027.1,6.555097955295213e-08,0.06938531846717477,6.555097955295213e-08
AL135938.2,9.518360141022663e-09,0.03876533710393193,9.49748217517691e-09
DHX8,0.014379023776141007,0.10084639439010273,-0.014371220124106198
CR392039.5,3.217315371746029e-06,-0.10008795503866416,-3.1605165007272186e-06
AC093214.1,7.302374161376827e-07,-0.08001949323127008,-3.534595760386388e-07
LINC01861,1.52170831174758e-07,-0.04460526199259788,-1.52170831174758e-07
FAM83G,4.333931366023659e-06,0.02691741660521971,-4.333931366023659e-06
NF2,0.03093426654918163,-0.21556336985773453,-0.03093426654918163
AC017101.1,4.294392436233568e-06,-0.12497428056582474,-3.0671166050513165e-06
AC009133.1,1.4112124404132142e-06,-0.004837499539481687,-1.4074252885094055e-06
PKD1L2,4.004272272365222e-06,-0.019659677252059412,2.1646087367492865e-06
Z94160.1,1.6385766351436508e-07,0.03274264016440901,-4.0609808004507694e-08
RNU6-435P,6.217107709661613e-08,-0.029726432523848007,5.999641431802762e-08
PGAM1P13,7.03927156139905e-08,-0.015208075259915705,-7.03927156139905e-08
AC018695.6,5.262837675385355e-07,0.07910166227242064,-5.173796843608113e-07
SNORD32A,2.3590818525816255e-07,0.04992137861905032,-1.6845819035882006e-07
TSPAN33,3.224777577476102e-06,-0.24309132258199143,3.221423284198084e-06
AL359092.2,1.1749587531726709e-07,-0.03880592012035192,-3.996914561340253e-09
MEP1B,1.1277608146550717e-06,-0.42443589834920153,6.184858329204125e-07
NFU1P1,6.119435579390266e-08,0.0692243129190803,6.119435579390266e-08
LINC02047,4.286040243918957e-08,-0.19555157997418715,-4.285418951330974e-08
CTSD,3.5470810453116053e-06,0.005309892693272328,-3.5470810453116053e-06
OLR1,6.06008594665598e-06,0.09516640212974081,-6.06008594665598e-06
SKI,1.3743215569394e-06,0.06744501338921506,1.1144124537789891e-06
C8A,0.0014489229404150994,0.0267475761591245,-0.0011423903353484153
AC093292.1,2.5927992113255164e-08,-0.0998948016648878,-1.9812126172747743e-08
TRDMT1,2.7659794652857053e-06,-0.22193111776815272,-6.65807977908055e-07
B9D1,4.915181412223868e-07,-0.3151558044943863,2.8782406195290434e-08
AP002754.1,6.277524262082037e-07,0.09697106275952479,-4.579899770105165e-07
AC002056.1,1.8388262817585085e-07,0.13263981863446606,-1.5416523187193936e-07
AL020995.1,2.8448626264951007e-07,-0.16131297358637472,5.0265508473507415e-08
AL355312.1,2.58711666098678e-06,-0.10750960314052917,-2.5869430732110192e-06
ECT2L,1.9944578766209643e-06,-0.0033681468493884383,-1.991974480417102e-06
