,absMeanSHAP,spearman,meanSHAP
AP001043.2,0.0,,0.0
AL050402.2,2.9655152085608183e-08,-0.004782237918053069,2.706303812034623e-08
SLC25A15P4,2.564045817015462e-07,-0.0733268884821456,-4.652846774356331e-08
AC023818.1,4.425185721385422e-06,0.038123390672409135,-1.2310163591265403e-06
AL021368.3,2.4174163807391604e-06,-0.04354028061717826,-2.3625118728065783e-06
AP001340.1,6.707263376530188e-08,-0.10029870001468684,6.661324048325461e-08
TCP11X1,4.7003965070841515e-07,0.07628268964411841,4.7003965070841515e-07
GRK5,0.040597236624861324,0.40000504863231656,0.040597236624861324
AL139317.4,3.293666476352507e-06,0.17281575457197584,1.4595153536765316e-06
RNU6-353P,2.384221892982686e-08,-0.054713695776080255,-7.99692256006839e-09
AL096677.1,5.824002675411122e-07,-0.05400739120257636,-5.271816552332906e-07
NPM1P17,2.9768199040928675e-08,-0.04260712808794717,-2.066774256396483e-09
STK25,0.01608034508643469,-0.28972479938863427,-0.016078928934558125
AC004052.1,2.7239142386734384e-07,-0.07557922706819246,-1.6310264792839614e-07
AC023593.1,4.702715265078104e-06,-0.3488364267967506,-3.7794510219488464e-07
FAM236B,9.134070312930397e-08,-0.02469182055077128,-6.983100233305523e-08
SLC25A18,4.321510759838668e-06,-0.12657187250594362,6.57043491122925e-07
PSEN1,0.011104742515752363,0.14982196247391866,-0.011100596084632302
COL9A1,3.1090623103573982e-06,-0.1326264666343922,-2.5136915591122418e-06
BTBD18,4.004653411548214e-06,-0.11307592339184616,-2.5433754138111295e-06
ANKRD35,1.2376300908811911e-06,0.1519802780733108,-1.3956558719230356e-07
AL355297.2,8.805432243552768e-07,-0.16674265295658133,8.369019771050327e-07
AC012157.2,9.189605406999185e-07,0.06481904510615505,-6.936644522667744e-07
LINC00665,1.2552403808081853e-05,-0.4076495221044977,-5.979547384402293e-06
AC073957.2,2.5097130388816516e-06,0.009298995743890906,-2.501223965626061e-06
AC093700.1,1.0618465494369233e-08,-0.010965347468682628,-5.122623614977774e-09
AC024341.1,2.05804900699302e-07,-0.11844170500228202,6.190343632241506e-08
AC008429.4,3.456357531555651e-07,-0.017924216176068323,-1.33733812333022e-07
PLAAT5,4.2992228805840955e-06,0.1865754201866157,4.297739091324066e-06
AL606804.1,6.905219256743528e-07,0.05594576495462117,1.0075303997345163e-07
AC067956.1,1.5588010579953596e-06,-0.11632873089855574,-1.5588010579953596e-06
AP003784.1,8.557501753460893e-07,-0.28616782570716515,-8.557501753460893e-07
AF238378.1,9.462544498541795e-08,-0.12589198284336456,9.462544498541795e-08
STK24-AS1,2.3894705799144363e-06,-0.056001178473353286,2.983154311325134e-08
AC025614.1,0.0,,0.0
BCKDK,0.007161115338060857,-0.40192629477970004,-0.007160220020298707
AC090515.6,4.279143503352533e-07,-0.038783233962395476,4.2070312036600483e-07
RNU6ATAC28P,1.4801814577389702e-08,0.01923654583592849,9.423778187017474e-09
RNU1-42P,1.5083142111796498e-07,-0.007477970771636819,-5.869130201761371e-11
AL359475.1,3.23100366332502e-08,-0.11029460809814769,1.0303535770135337e-08
AL772363.1,5.158946204792837e-07,-0.08129093110324649,-5.028946943269934e-07
CCM2L,2.4106161735469838e-06,0.17066843728683767,2.409807762475389e-06
AC090971.2,1.5680555079217302e-06,0.12630853827110275,1.5680555079217302e-06
MIR23C,7.385356302863788e-09,-0.047565418508618756,-2.733274320964355e-09
AC104837.2,4.077466908075904e-07,-0.05724328575667691,-1.8842444262967313e-07
RNU6-123P,1.301048202428801e-07,-0.05753578220319208,5.899978218739745e-08
ANKHD1,1.3185654664544761e-05,-0.12467125132745147,5.336523301877903e-07
RPL35P5,5.281855601461268e-07,-0.027635772162503326,2.2765824733473703e-07
FCAMR,7.261885811956442e-07,-0.14658495698550858,6.514091800137303e-08
AL670729.1,2.8702421320878335e-08,-0.004279510897860899,-1.3951450045124767e-08
AC020663.3,6.144325094763925e-06,-0.030263136494933153,-6.087835633848319e-06
HRG,0.000996447177590727,-0.23593795954895924,0.000996447177590727
AL024498.2,1.4037703902259756e-06,0.017778652984902242,2.5551919141438226e-07
