,absMeanSHAP,spearman,meanSHAP
MORC1,6.997725997569079e-07,-0.24125791008436556,2.7706651512528887e-07
AZGP1P2,0.002926296874918393,-0.18561976074854708,-0.002926296874918393
RHBDD3,6.748288048518987e-06,0.0800595487563237,-3.1878171831162116e-06
KIRREL1-IT1,2.41703757275337e-06,-0.33088215198268106,5.633526615642392e-07
SLC2A10,5.831083810470261e-06,0.24718056419437723,-5.829829510952645e-06
DPH1,4.39947456243317e-06,-0.5705193011083367,-4.1721562924182214e-07
FXNP1,8.314218751517346e-05,-0.10024318090574288,8.314218751517346e-05
KRTAP9-3,0.00010260745366530126,-0.003288440565331434,2.3461820944069747e-05
AC011352.1,1.3500605227589684e-06,0.28087623302478487,8.123784539160514e-07
KLK15,0.0006640898232085765,0.06087374910804279,-0.0005434097658379739
AC117394.2,0.0007514946796804083,-0.06910625933349258,-0.0007514946796804083
AC068057.1,6.309806502903501e-05,-0.022229454868850064,-4.452724740201698e-05
IPO11,1.7799957738811825e-06,-0.31815053012216904,1.2146400354658195e-06
AL357078.1,7.577127650051681e-05,-0.007024155469099609,-7.452170262930568e-05
IFT57,4.986057013725306e-06,-0.31773768380959316,-2.649853529264783e-06
AL591742.1,0.00032079455207510753,-0.05848445242077774,-0.00032079455207510753
UBE2V1P12,0.00012078078677256906,0.03471966711100153,-2.8202360814987638e-05
NPR1,1.5748505526135267e-06,-0.5161293083153752,-1.5013770703924583e-06
ZNF717,5.79919172251586e-06,-0.5128228372089033,4.67480358568978e-06
DNAJC5,1.1065074157963644e-05,-0.17307291869217215,1.1065074157963644e-05
SRD5A3P1,3.6900472765503094e-07,-0.3399889062927376,-1.4871126892479945e-07
OR4A8,0.0001015299252225427,0.01404069284139791,4.0909088891737616e-05
BX470209.2,0.0006775547091775936,-0.05892253437406553,-0.0006775547091775936
HELZ2,3.158117183162396e-06,-0.026297008799361636,3.0308603818410553e-06
FOXC2-AS1,0.0009559871377580868,0.004429132536627752,0.0009522684758451779
