,absMeanSHAP,spearman,meanSHAP
AC090022.2,0.0,,0.0
SERHL2,0.00083843305062465,-0.1330371280150211,-0.00083843305062465
MIR889,0.0,,0.0
SENP3,0.00017936317912622076,-0.08789141580159499,0.00017936317912622076
AC011243.1,2.2585286697016137e-06,-0.18938960162865182,2.203958241272348e-06
SCAMP2,0.0005382917524979823,-0.36347601837069016,-0.0005382917524979823
VTA1,0.0004909825326555506,0.13098647073095024,0.0004909825326555506
MIR382,0.0,,0.0
AC092656.1,0.00016023085858134472,-0.44274567649284935,-0.00015993590698827292
CCR1,0.00081997212079629,-0.06458492804229987,-0.00081997212079629
OR10P1,6.473009523508414e-06,-0.008226607176992634,-6.473009523508414e-06
AC010618.1,7.541449830837561e-06,-0.11979552740492827,-2.4607731668578704e-06
MTSS2,0.00038529312652876407,-0.06498124025798394,0.00038529312652876407
AC104009.1,2.3969785484686717e-05,0.001898306344031997,2.3969785484686717e-05
SNRPEP8,4.599908586247332e-06,-0.054517709264579016,-2.068266906443942e-06
ARMC10P1,1.0049970173233588e-05,0.40441756020246317,8.389025861043767e-06
AC022679.2,1.6619307391047644e-06,-0.31892909855844387,-6.559673987558049e-07
AC008432.1,2.34922649324335e-06,-0.019416378989461486,2.34922649324335e-06
CLSPN,0.0008536070584570684,0.253881891351384,0.0008536070584570684
IRAK3,0.0006582515708639685,-0.28026566307706063,-0.0006582515708639685
KLK7,0.00018481481730290637,0.1869446780150015,-0.00018481481730290637
IL13,1.7505934171178993e-05,-0.09720169222086246,-1.5315786648392813e-05
AC093732.1,0.00031842875916805345,-0.2628514563082301,-0.00031842875916805345
CHCHD2P7,2.6917989481081994e-06,-0.28912816474461184,-2.069644472767167e-06
LINC02411,0.00011549265404143514,-0.008179514979768843,0.00011549265404143514
AL022578.1,2.194205749549538e-05,0.019048718473345747,4.895716443549175e-07
FDCSP,0.00022627152515214405,0.379643287406413,-0.00022627152515214405
AC018558.1,1.3911276529407165e-05,0.1562105506831629,1.3911276529407165e-05
AL450336.1,1.5157984406344984e-05,-0.04736969871258184,-1.5157984406344984e-05
AC103833.1,4.953346130997663e-06,-0.04229739932857754,1.840749507465323e-06
AL137018.1,6.699786446182498e-05,-0.37962899854167714,-6.698932230258407e-05
AC106788.1,6.042438126773584e-07,-0.04677654853000011,6.042438126773584e-07
AC090213.1,0.00015994385626658393,-0.33414541412154336,-0.00013865699359386723
AC012409.1,0.00032895709116756514,-0.6876652885479588,-0.00032275034742634714
FAM241A,0.0001675919080325468,-0.4771714056941504,0.0001675919080325468
AC000072.1,0.0002480863123469596,-0.2001750775224029,0.0002480863123469596
USP9YP1,3.5940473551320895e-06,-0.16095105063143356,1.3535688414790683e-06
