gene,category,ensemblGeneId,classification
A2M-AS1,1,ENSG00000245105,lncRNA
A1BG,0,ENSG00000121410,protein_coding
A1BG-AS1,1,ENSG00000268895,lncRNA
A2M,0,ENSG00000175899,protein_coding
A2ML1-AS1,2,ENSG00000256661,lncRNA
A1CF,1,ENSG00000148584,protein_coding
A2ML1-AS2,2,ENSG00000256904,lncRNA
A2MP1,1,ENSG00000256069,transcribed_unprocessed_pseudogene
A2ML1,1,ENSG00000166535,protein_coding
A3GALT2,2,ENSG00000184389,protein_coding
A4GALT,1,ENSG00000128274,protein_coding
A4GNT,1,ENSG00000118017,protein_coding
AACSP1,1,ENSG00000250420,transcribed_unprocessed_pseudogene
AADAC,1,ENSG00000114771,protein_coding
AADACL2,1,ENSG00000197953,protein_coding
AACS,0,ENSG00000081760,protein_coding
AADACL2-AS1,2,ENSG00000242908,lncRNA
AAAS,0,ENSG00000094914,protein_coding
AADACL4,2,ENSG00000204518,protein_coding
AADACP1,1,ENSG00000240602,transcribed_unprocessed_pseudogene
AADACL3,2,ENSG00000188984,protein_coding
AADAT,1,ENSG00000109576,protein_coding
AAGAB,0,ENSG00000103591,protein_coding
AAK1,0,ENSG00000115977,protein_coding
AAMDC,0,ENSG00000087884,protein_coding
AAMP,0,ENSG00000127837,protein_coding
AANAT,1,ENSG00000129673,protein_coding
AARD,1,ENSG00000205002,protein_coding
AARS1P1,3,ENSG00000249038,processed_pseudogene
AARS2,0,ENSG00000124608,protein_coding
AAR2,0,ENSG00000131043,protein_coding
AASDHPPT,0,ENSG00000149313,protein_coding
AASDH,1,ENSG00000157426,protein_coding
AARSD1,1,ENSG00000266967,protein_coding
AATBC,1,ENSG00000215458,lncRNA
ABALON,1,ENSG00000281376,lncRNA
AATK,1,ENSG00000181409,protein_coding
AARS1,0,ENSG00000090861,protein_coding
AATF,0,ENSG00000275700,protein_coding
ABBA01000933.1,2,unidentified,unidentified
AASS,0,ENSG00000008311,protein_coding
ABBA01031658.1,3,unidentified,unidentified
ABBA01010928.1,2,unidentified,unidentified
ABAT,0,ENSG00000183044,protein_coding
ABBA01006766.1,2,ENSG00000265233,processed_pseudogene
ABBA01031669.1,2,unidentified,unidentified
ABBA01000935.2,1,ENSG00000283544,unprocessed_pseudogene
ABCA11P,1,ENSG00000251595,transcribed_processed_pseudogene
ABBA01045074.2,1,ENSG00000287800,processed_pseudogene
ABBA01045074.1,1,ENSG00000286916,processed_pseudogene
ABCA1,0,ENSG00000165029,protein_coding
ABCA17P,1,ENSG00000238098,transcribed_unitary_pseudogene
ABCA10,1,ENSG00000154263,protein_coding
ABCA12,1,ENSG00000144452,protein_coding
ABCA13,1,ENSG00000179869,protein_coding
ABCA3,1,ENSG00000167972,protein_coding
ABCA6,1,ENSG00000154262,protein_coding
ABCA5,1,ENSG00000154265,protein_coding
ABCA4,1,ENSG00000198691,protein_coding
ABCA2,1,ENSG00000107331,protein_coding
ABCA9-AS1,1,ENSG00000231749,lncRNA
ABCA7,1,ENSG00000064687,protein_coding
ABCA8,0,ENSG00000141338,protein_coding
ABCA9,1,ENSG00000154258,protein_coding
ABCB10,0,ENSG00000135776,protein_coding
ABCB10P1,2,ENSG00000274099,processed_pseudogene
ABCB1,0,ENSG00000085563,protein_coding
ABCB10P3,1,ENSG00000261524,processed_pseudogene
ABCB10P4,2,ENSG00000260053,processed_pseudogene
ABCB11,1,ENSG00000073734,protein_coding
ABCB5,1,ENSG00000004846,protein_coding
ABCB6,0,ENSG00000115657,protein_coding
ABCB4,1,ENSG00000005471,protein_coding
ABCB7,0,ENSG00000131269,protein_coding
ABCC10,0,ENSG00000124574,protein_coding
ABCC1,0,ENSG00000103222,protein_coding
ABCB8,0,ENSG00000197150,protein_coding
ABCB9,1,ENSG00000150967,protein_coding
ABCC13,1,ENSG00000243064,transcribed_unprocessed_pseudogene
ABCC11,1,ENSG00000121270,protein_coding
ABCC2,1,ENSG00000023839,protein_coding
ABCC12,1,ENSG00000140798,protein_coding
ABCC3,0,ENSG00000108846,protein_coding
ABCC5-AS1,1,ENSG00000223882,lncRNA
ABCC4,1,ENSG00000125257,protein_coding
ABCC6P1,1,ENSG00000291057,lncRNA
ABCC5,1,ENSG00000114770,protein_coding
ABCC6P2,1,ENSG00000255277,transcribed_unprocessed_pseudogene
ABCC6,1,ENSG00000091262,protein_coding
ABCD1,0,ENSG00000101986,protein_coding
ABCD1P2,2,ENSG00000215151,unprocessed_pseudogene
ABCD1P3,2,ENSG00000261233,unprocessed_pseudogene
ABCD1P4,2,ENSG00000225293,unprocessed_pseudogene
ABCD1P5,2,ENSG00000214330,unprocessed_pseudogene
ABCD2,1,ENSG00000173208,protein_coding
ABCC9,1,ENSG00000069431,protein_coding
ABCD3,0,ENSG00000117528,protein_coding
ABCE1,0,ENSG00000164163,protein_coding
ABCF1,0,ENSG00000204574,protein_coding
ABCF2,1,ENSG00000033050,protein_coding
ABCF2P1,2,ENSG00000242159,processed_pseudogene
ABCD4,0,ENSG00000119688,protein_coding
ABCF2P2,2,ENSG00000228769,unprocessed_pseudogene
ABCG2,1,ENSG00000118777,protein_coding
ABCF3,0,ENSG00000161204,protein_coding
ABCG1,1,ENSG00000160179,protein_coding
ABCG4,1,ENSG00000172350,protein_coding
ABCG5,1,ENSG00000138075,protein_coding
ABHD10,0,ENSG00000144827,protein_coding
ABCG8,1,ENSG00000143921,protein_coding
ABHD11,0,ENSG00000106077,protein_coding
ABHD1,1,ENSG00000143994,protein_coding
ABHD11-AS1,1,ENSG00000225969,transcribed_unitary_pseudogene
ABHD13,0,ENSG00000139826,protein_coding
ABCC8,1,ENSG00000006071,protein_coding
ABHD14A,1,ENSG00000248487,protein_coding
ABHD12,0,ENSG00000100997,protein_coding
ABHD14B,0,ENSG00000114779,protein_coding
ABHD15-AS1,2,ENSG00000264031,lncRNA
ABHD12B,1,ENSG00000131969,protein_coding
ABHD15,1,ENSG00000168792,protein_coding
ABHD16B,2,ENSG00000183260,protein_coding
ABHD17A,0,ENSG00000129968,protein_coding
ABHD17AP1,1,ENSG00000198658,unprocessed_pseudogene
ABHD16A,0,ENSG00000204427,protein_coding
ABHD17AP3,1,ENSG00000250536,unprocessed_pseudogene
ABHD14A-ACY1,1,ENSG00000114786,protein_coding
ABHD17AP4,1,ENSG00000229107,processed_pseudogene
ABHD17AP5,1,ENSG00000263366,processed_pseudogene
ABHD17AP7,2,ENSG00000260864,unprocessed_pseudogene
ABHD17AP8,2,ENSG00000260540,unprocessed_pseudogene
ABHD17AP9,2,ENSG00000261536,unprocessed_pseudogene
ABHD17AP6,1,ENSG00000226981,unprocessed_pseudogene
ABHD17C,0,ENSG00000136379,protein_coding
ABHD17B,0,ENSG00000107362,protein_coding
ABHD18,1,ENSG00000164074,protein_coding
ABHD2,1,ENSG00000140526,protein_coding
ABHD3,0,ENSG00000158201,protein_coding
ABHD4,0,ENSG00000100439,protein_coding
ABHD8,1,ENSG00000127220,protein_coding
ABHD6,0,ENSG00000163686,protein_coding
ABI1P1,1,ENSG00000271484,unprocessed_pseudogene
ABHD5,0,ENSG00000011198,protein_coding
ABI3,0,ENSG00000108798,protein_coding
ABITRAM,0,ENSG00000119328,protein_coding
ABITRAMP1,2,ENSG00000251106,processed_pseudogene
ABI1,0,ENSG00000136754,protein_coding
ABI2,0,ENSG00000138443,protein_coding
ABL1,0,ENSG00000097007,protein_coding
ABI3BP,1,ENSG00000154175,protein_coding
ABL2,1,ENSG00000143322,protein_coding
ABLIM3,0,ENSG00000173210,protein_coding
ABLIM1,0,ENSG00000099204,protein_coding
ABLIM2,0,ENSG00000163995,protein_coding
ABO,1,ENSG00000175164,protein_coding
ABRA,1,ENSG00000174429,protein_coding
ABRACL,0,ENSG00000146386,protein_coding
ABRAXAS2,0,ENSG00000165660,protein_coding
ABT1,0,ENSG00000146109,protein_coding
ABRAXAS1,0,ENSG00000163322,protein_coding
ABT1P1,1,ENSG00000250496,processed_pseudogene
ABTB2,1,ENSG00000166016,protein_coding
AC000029.2,2,unidentified,unidentified
ABR,1,ENSG00000159842,protein_coding
ABTB1,1,ENSG00000114626,protein_coding
AC000032.1,1,ENSG00000260246,lncRNA
