gene,classification
A1BG,protein
A1CF,protein
A2M,protein
A2ML1,protein
A3GALT2,protein
A4GALT,protein
A4GNT,protein
AAAS,protein
AACS,protein
AADAC,protein
AADACL2,protein
AADACL3,protein
AADACL4,protein
AADAT,protein
AAGAB,protein
AAK1,protein
AAMDC,protein
AAMP,protein
AANAT,protein
AAR2,protein
AARD,protein
AARS1,protein
AARS2,protein
AARSD1,protein
AASDH,protein
AASDHPPT,protein
AASS,protein
AATF,protein
AATK,protein
ABAT,protein
ABCA1,protein
ABCA10,protein
ABCA12,protein
ABCA13,protein
ABCA2,protein
ABCA3,protein
ABCA4,protein
ABCA5,protein
ABCA6,protein
ABCA7,protein
ABCA8,protein
ABCA9,protein
ABCB1,protein
ABCB10,protein
ABCB11,protein
ABCB4,protein
ABCB5,protein
ABCB6,protein
ABCB7,protein
ABCB8,protein
ABCB9,protein
ABCC1,protein
ABCC10,protein
ABCC11,protein
ABCC12,protein
ABCC2,protein
ABCC3,protein
ABCC4,protein
ABCC5,protein
ABCC6,protein
ABCC8,protein
ABCC9,protein
ABCD1,protein
ABCD2,protein
ABCD3,protein
ABCD4,protein
ABCE1,protein
ABCF1,protein
ABCF2,protein
ABCF3,protein
ABCG1,protein
ABCG2,protein
ABCG4,protein
ABCG5,protein
ABCG8,protein
ABHD1,protein
ABHD10,protein
ABHD11,protein
ABHD12,protein
ABHD12B,protein
ABHD13,protein
ABHD14A,protein
ABHD14B,protein
ABHD15,protein
ABHD16A,protein
ABHD16B,protein
ABHD17A,protein
ABHD17B,protein
ABHD17C,protein
ABHD18,protein
ABHD2,protein
ABHD3,protein
ABHD4,protein
ABHD5,protein
ABHD6,protein
ABHD8,protein
ABI1,protein
ABI2,protein
ABI3,protein
ABI3BP,protein
ABITRAM,protein
ABL1,protein
ABL2,protein
ABLIM1,protein
ABLIM2,protein
ABLIM3,protein
ABO,protein
ABR,protein
ABRA,protein
ABRACL,protein
ABRAXAS1,protein
ABRAXAS2,protein
ABT1,protein
ABTB1,protein
ABTB2,protein
ACAA1,protein
ACAA2,protein
ACACA,protein
ACACB,protein
ACAD10,protein
ACAD11,protein
ACAD8,protein
ACAD9,protein
ACADL,protein
ACADM,protein
ACADS,protein
ACADSB,protein
ACADVL,protein
ACAN,protein
ACAP1,protein
ACAP2,protein
ACAP3,protein
ACAT1,protein
ACAT2,protein
ACBD3,protein
ACBD4,protein
ACBD5,protein
ACBD6,protein
ACBD7,protein
ACCS,protein
ACCSL,protein
ACD,protein
ACE,protein
ACE2,protein
ACER1,protein
ACER2,protein
ACER3,protein
ACHE,protein
ACIN1,protein
ACKR1,protein
ACKR2,protein
ACKR3,protein
ACKR4,protein
ACLY,protein
ACMSD,protein
ACO1,protein
ACO2,protein
ACOD1,protein
ACOT1,protein
ACOT11,protein
ACOT12,protein
ACOT13,protein
ACOT2,protein
ACOT4,protein
ACOT6,protein
ACOT7,protein
ACOT8,protein
ACOT9,protein
ACOX1,protein
ACOX2,protein
ACOX3,protein
ACOXL,protein
ACP1,protein
ACP2,protein
ACP3,protein
ACP4,protein
ACP5,protein
ACP6,protein
ACP7,protein
ACR,protein
ACRBP,protein
ACRV1,protein
ACSBG1,protein
ACSBG2,protein
ACSF2,protein
ACSF3,protein
ACSL1,protein
ACSL3,protein
ACSL4,protein
ACSL5,protein
ACSL6,protein
ACSM1,protein
ACSM2A,protein
ACSM2B,protein
ACSM3,protein
ACSM4,protein
ACSM5,protein
ACSM6,protein
ACSS1,protein
ACSS2,protein
ACSS3,protein
ACTA1,protein
ACTA2,protein
ACTB,protein
ACTBL2,protein
ACTC1,protein
ACTG1,protein
ACTG2,protein
ACTL10,protein
ACTL6A,protein
ACTL6B,protein
ACTL7A,protein
ACTL7B,protein
ACTL8,protein
ACTL9,protein
ACTN1,protein
ACTN2,protein
ACTN3,protein
ACTN4,protein
ACTR10,protein
ACTR1A,protein
ACTR1B,protein
ACTR2,protein
ACTR3,protein
ACTR3B,protein
ACTR3C,protein
ACTR5,protein
ACTR6,protein
ACTR8,protein
ACTRT1,protein
ACTRT2,protein
ACTRT3,protein
ACVR1,protein
ACVR1B,protein
ACVR1C,protein
ACVR2A,protein
ACVR2B,protein
ACVRL1,protein
ACY1,protein
ACY3,protein
ACYP1,protein
ACYP2,protein
ADA,protein
ADA2,protein
ADAD1,protein
ADAD2,protein
ADAL,protein
ADAM10,protein
ADAM11,protein
ADAM12,protein
ADAM15,protein
ADAM17,protein
ADAM18,protein
ADAM19,protein
ADAM2,protein
ADAM20,protein
ADAM21,protein
ADAM22,protein
ADAM23,protein
ADAM28,protein
ADAM29,protein
ADAM30,protein
ADAM32,protein
ADAM33,protein
